year,Inflation & Prices,Interest Rates & Monetary Policy,Economic Growth & Output,Employment & Labor,Trade & Commerce,Fiscal Policy & Government,Markets & Finance,Investment & Capital,Business & Corporate,Commodities & Energy,Housing & Real Estate,Consumer & Spending,Financial Stability & Risk
1990,0.20963855421686747,1.9313253012048193,0.6385542168674698,0.012048192771084338,0.1566265060240964,0.4506024096385542,0.2855421686746988,0.25180722891566265,0.043373493975903614,0.04578313253012048,0.11325301204819277,0.06144578313253012,0.1686746987951807
1991,0.1218274111675127,1.6608214120904476,0.8278726349792339,0.02030456852791878,0.08583294877711121,0.44485463774803874,0.2718043377941855,0.1915089986155976,0.06045223811721274,0.01384402399630826,0.04199353945546839,0.08814028610982926,0.137978772496539
1992,0.08155844155844155,1.450909090909091,0.8748051948051948,0.027532467532467533,0.0774025974025974,0.5407792207792208,0.20883116883116884,0.1277922077922078,0.05246753246753247,0.015584415584415584,0.04,0.09402597402597403,0.07272727272727272
1993,0.1381692573402418,1.2953367875647668,0.7236614853195165,0.025906735751295335,0.1421991940126655,0.6902705814622913,0.19055843408175013,0.1111111111111111,0.09153713298791019,0.05814622913068509,0.01957397812320092,0.12204951065054692,0.04548071387449626
1994,0.22904624277456648,1.80635838150289,0.6828034682080925,0.033236994219653176,0.11271676300578035,0.3670520231213873,0.3945086705202312,0.10115606936416185,0.057803468208092484,0.00939306358381503,0.018063583815028903,0.04841040462427745,0.03540462427745665
1995,0.11794228356336262,1.410288582183187,0.7415307402760352,0.027603513174404015,0.1329987452948557,0.39021329987452946,0.5972396486825596,0.09535759096612297,0.053952321204516936,0.013801756587202008,0.013801756587202008,0.0451693851944793,0.1355081555834379
1996,0.21499448732083792,1.5303197353914002,0.6945975744211687,0.05622932745314223,0.07607497243660419,0.3131201764057332,0.4002205071664829,0.10915104740904079,0.06284454244762955,0.018743109151047408,0.017640573318632856,0.05843439911797133,0.07166482910694598
1997,0.24004975124378108,1.3781094527363185,0.6766169154228856,0.05161691542288557,0.11007462686567164,0.333955223880597,0.4253731343283582,0.12313432835820895,0.06281094527363185,0.014303482587064677,0.006218905472636816,0.0740049751243781,0.11691542288557213
1998,0.10011474469305795,1.1801491681009753,0.7418244406196214,0.013482501434308663,0.07401032702237521,0.3419391853126793,0.3889845094664372,0.1310958118187034,0.045037292025243834,0.004876649454962708,0.007458405048766495,0.05593803786574871,0.24985656913367757
1999,0.19557522123893806,1.6575221238938054,0.6942477876106194,0.03008849557522124,0.05486725663716814,0.2973451327433628,0.479646017699115,0.1424778761061947,0.06460176991150443,0.016371681415929203,0.011946902654867256,0.08849557522123894,0.13274336283185842
2000,0.28890959925442683,2.2656104380242312,0.727865796831314,0.022367194780987885,0.03821062441752097,0.24324324324324326,0.4613233923578751,0.1369990680335508,0.05871388630009319,0.04007455731593663,0.023299161230195712,0.11742777260018639,0.11369990680335508
2001,0.137524557956778,2.524557956777996,0.8192534381139489,0.012770137524557957,0.04027504911591356,0.28388998035363455,0.34970530451866405,0.12180746561886051,0.06679764243614932,0.014734774066797643,0.03536345776031434,0.08447937131630648,0.1512770137524558
2002,0.19047619047619047,2.517665130568356,0.946236559139785,0.019969278033794162,0.04915514592933948,0.3210445468509985,0.43010752688172044,0.130568356374808,0.07834101382488479,0.01228878648233487,0.07219662058371736,0.09984639016897082,0.20276497695852536
2003,0.2131979695431472,2.5558375634517767,0.6243654822335025,0.015228426395939087,0.04568527918781726,0.3426395939086294,0.5736040609137056,0.07106598984771574,0.04568527918781726,0.01015228426395939,0.0583756345177665,0.08121827411167512,0.11421319796954314
2004,0.3227990970654628,2.873589164785553,0.48306997742663654,0.009029345372460496,0.05417607223476298,0.3431151241534989,0.5214446952595937,0.13769751693002258,0.06320541760722348,0.05417607223476298,0.029345372460496615,0.13318284424379231,0.06772009029345373
2005,0.4279149913842619,1.6967260195290064,0.41240666283744976,0.037334865020103386,0.12291786329695577,0.41010913268236643,0.3308443423319931,0.1797817346352671,0.1022400919012062,0.09649626651349799,0.36128661688684666,0.28604250430786904,0.08558299827685238
2006,0.45237592397043297,2.041182682154171,0.4371700105596621,0.031045406546990496,0.11003167898627243,0.5472016895459345,0.25681098204857444,0.20274551214361142,0.09904963041182682,0.06251319957761352,0.1945089757127772,0.20084477296726505,0.07687434002111933
2007,0.3244916003536693,1.9234305923961097,0.49089301503094607,0.01786030061892131,0.09124668435013263,0.4360742705570292,0.45552608311229,0.3460654288240495,0.07904509283819629,0.040671971706454466,0.27144120247568526,0.15243147656940761,0.14854111405835543
2008,0.25116678948661264,1.6327683615819208,0.5566199950872022,0.017071972488332105,0.059322033898305086,0.4265536723163842,0.44694178334561535,0.2830999754360108,0.06877916973716532,0.06693687054777696,0.15315647261115206,0.12269712601326456,0.2649226234340457
2009,0.163338997451147,1.2633814783347495,0.6219201359388276,0.03610875106202209,0.07073067119796092,0.5467289719626168,0.3211554800339847,0.21197960917587086,0.09345794392523364,0.04736618521665251,0.19307561597281223,0.1743840271877655,0.23959218351741715
2010,0.13459552495697075,1.4819277108433735,0.5783132530120482,0.04647160068846816,0.08537005163511188,0.4891566265060241,0.270223752151463,0.15008605851979345,0.0640275387263339,0.022030981067125647,0.22203098106712565,0.12426850258175559,0.1810671256454389
2011,0.21169811320754717,1.3581132075471698,0.5607547169811321,0.040754716981132075,0.09132075471698113,0.47358490566037736,0.3479245283018868,0.1332075471698113,0.040754716981132075,0.09207547169811321,0.05622641509433962,0.08415094339622642,0.1909433962264151
2012,0.16666666666666666,1.700191570881226,0.6293103448275862,0.07088122605363985,0.06561302681992337,0.44300766283524906,0.25287356321839083,0.12978927203065135,0.0603448275862069,0.03735632183908046,0.08381226053639847,0.09865900383141762,0.17624521072796934
2013,0.13361926756845927,1.8512042230287034,0.5169910920488288,0.04289013526888816,0.05542725173210162,0.43582975915539424,0.3652259980204553,0.14483668756186077,0.05278785879247773,0.0442098317387001,0.07423292642692181,0.09336852523919499,0.14384691520950182
2014,0.2080026455026455,2.121031746031746,0.5773809523809523,0.056878306878306875,0.04894179894179894,0.1669973544973545,0.4408068783068783,0.11044973544973545,0.051587301587301584,0.059854497354497355,0.027116402116402115,0.06779100529100529,0.12896825396825398
2015,0.20965971459934138,2.1952067325283573,0.5062202707647274,0.050493962678375415,0.06769118185144529,0.1730698865715331,0.5492133186974021,0.14013904134650568,0.05579948774240761,0.09696304427369191,0.0243322356384925,0.07903402854006586,0.11818514452982071
2016,0.217035960770069,2.1805303305484927,0.5152560842717036,0.04358881220486742,0.08154740283327279,0.17653468942971304,0.5848165637486379,0.13548855793679623,0.05394115510352343,0.08227388303668726,0.036687250272430076,0.11060661096985107,0.1387577188521613
2017,0.25622605363984674,1.9980842911877394,0.5162835249042146,0.044061302681992334,0.17768199233716475,0.26676245210727967,0.5876436781609196,0.14128352490421456,0.07136015325670499,0.05220306513409962,0.03879310344827586,0.07710727969348659,0.1336206896551724
2018,0.2939297124600639,2.405750798722045,0.5103833865814696,0.0463258785942492,0.2515974440894569,0.19488817891373802,0.6285942492012779,0.1501597444089457,0.06789137380191693,0.06389776357827476,0.06230031948881789,0.09984025559105432,0.16773162939297126
2019,0.21851599727705923,2.3505786249149083,0.5500340367597005,0.033356024506466984,0.236215112321307,0.13138189244383935,0.5527569775357386,0.14023144996596323,0.05854322668481961,0.05922396187882913,0.043567052416609936,0.0987066031313819,0.1865214431586113
2020,0.19037871033776868,1.9948822927328558,0.6775844421699079,0.0593654042988741,0.07983623336745138,0.27635619242579323,0.6519959058341863,0.2067553735926305,0.10133060388945753,0.04708290685772774,0.03991811668372569,0.10030706243602866,0.24257932446264074
2021,0.5083913221449038,1.8890708145722472,0.4232501023331969,0.045845272206303724,0.04543593941874744,0.21694637740483014,0.9304134261154319,0.16086778550961933,0.07204257060990585,0.14081047891936144,0.03151862464183381,0.14244781006958657,0.13507981989357348
2022,0.6448713975828944,2.177564301208553,0.3966532383018283,0.040904865199876045,0.06662534862101023,0.17167647970251007,0.9070343972730089,0.2017353579175705,0.07158351409978309,0.15804152463588472,0.05020142547257515,0.16919739696312364,0.18593120545398203
2023,0.5583796664019063,2.1803018268467036,0.363780778395552,0.050833995234312944,0.05374635954461213,0.21313211543553084,0.90945194598888,0.23113582208101668,0.07095578501456182,0.1384696849351337,0.03600741329097167,0.16679904686258937,0.13635160180037068
2024,0.5450510430537062,1.91988459831336,0.31802041722148244,0.05193075898801598,0.08166888592987129,0.15290723479804705,1.0905459387483356,0.21815357301375943,0.09720372836218376,0.13315579227696406,0.02996005326231691,0.13204616067465602,0.09387483355525965
2025,0.36969192339716905,1.572300860394116,0.289480988065501,0.03746877601998335,0.44435192894809883,0.18429086872051068,0.9497640854843187,0.1909519844573966,0.09464335276158757,0.06855398279211768,0.031917846239245075,0.11823480432972523,0.1623646960865945
