year,raw_frequency,normalized_frequency,articles_per_year
1990,38,0.04578313253012048,830
1991,30,0.01384402399630826,2167
1992,30,0.015584415584415584,1925
1993,101,0.05814622913068509,1737
1994,13,0.00939306358381503,1384
1995,11,0.013801756587202008,797
1996,17,0.018743109151047408,907
1997,23,0.014303482587064677,1608
1998,17,0.004876649454962708,3486
1999,37,0.016371681415929203,2260
2000,43,0.04007455731593663,1073
2001,15,0.014734774066797643,1018
2002,8,0.01228878648233487,651
2003,4,0.01015228426395939,394
2004,24,0.05417607223476298,443
2005,168,0.09649626651349799,1741
2006,296,0.06251319957761352,4735
2007,230,0.040671971706454466,5655
2008,545,0.06693687054777696,8142
2009,223,0.04736618521665251,4708
2010,64,0.022030981067125647,2905
2011,244,0.09207547169811321,2650
2012,78,0.03735632183908046,2088
2013,134,0.0442098317387001,3031
2014,181,0.059854497354497355,3024
2015,530,0.09696304427369191,5466
2016,453,0.08227388303668726,5506
2017,109,0.05220306513409962,2088
2018,80,0.06389776357827476,1252
2019,87,0.05922396187882913,1469
2020,46,0.04708290685772774,977
2021,344,0.14081047891936144,2443
2022,510,0.15804152463588472,3227
2023,523,0.1384696849351337,3777
2024,600,0.13315579227696406,4506
2025,247,0.06855398279211768,3603
