year,raw_frequency,normalized_frequency,articles_per_year
1990,51,0.06144578313253012,830
1991,191,0.08814028610982926,2167
1992,181,0.09402597402597403,1925
1993,212,0.12204951065054692,1737
1994,67,0.04841040462427745,1384
1995,36,0.0451693851944793,797
1996,53,0.05843439911797133,907
1997,119,0.0740049751243781,1608
1998,195,0.05593803786574871,3486
1999,200,0.08849557522123894,2260
2000,126,0.11742777260018639,1073
2001,86,0.08447937131630648,1018
2002,65,0.09984639016897082,651
2003,32,0.08121827411167512,394
2004,59,0.13318284424379231,443
2005,498,0.28604250430786904,1741
2006,951,0.20084477296726505,4735
2007,862,0.15243147656940761,5655
2008,999,0.12269712601326456,8142
2009,821,0.1743840271877655,4708
2010,361,0.12426850258175559,2905
2011,223,0.08415094339622642,2650
2012,206,0.09865900383141762,2088
2013,283,0.09336852523919499,3031
2014,205,0.06779100529100529,3024
2015,432,0.07903402854006586,5466
2016,609,0.11060661096985107,5506
2017,161,0.07710727969348659,2088
2018,125,0.09984025559105432,1252
2019,145,0.0987066031313819,1469
2020,98,0.10030706243602866,977
2021,348,0.14244781006958657,2443
2022,546,0.16919739696312364,3227
2023,630,0.16679904686258937,3777
2024,595,0.13204616067465602,4506
2025,426,0.11823480432972523,3603
