year,raw_frequency,normalized_frequency,articles_per_year
1990,530,0.6385542168674698,830
1991,1794,0.8278726349792339,2167
1992,1684,0.8748051948051948,1925
1993,1257,0.7236614853195165,1737
1994,945,0.6828034682080925,1384
1995,591,0.7415307402760352,797
1996,630,0.6945975744211687,907
1997,1088,0.6766169154228856,1608
1998,2586,0.7418244406196214,3486
1999,1569,0.6942477876106194,2260
2000,781,0.727865796831314,1073
2001,834,0.8192534381139489,1018
2002,616,0.946236559139785,651
2003,246,0.6243654822335025,394
2004,214,0.48306997742663654,443
2005,718,0.41240666283744976,1741
2006,2070,0.4371700105596621,4735
2007,2776,0.49089301503094607,5655
2008,4532,0.5566199950872022,8142
2009,2928,0.6219201359388276,4708
2010,1680,0.5783132530120482,2905
2011,1486,0.5607547169811321,2650
2012,1314,0.6293103448275862,2088
2013,1567,0.5169910920488288,3031
2014,1746,0.5773809523809523,3024
2015,2767,0.5062202707647274,5466
2016,2837,0.5152560842717036,5506
2017,1078,0.5162835249042146,2088
2018,639,0.5103833865814696,1252
2019,808,0.5500340367597005,1469
2020,662,0.6775844421699079,977
2021,1034,0.4232501023331969,2443
2022,1280,0.3966532383018283,3227
2023,1374,0.363780778395552,3777
2024,1433,0.31802041722148244,4506
2025,1043,0.289480988065501,3603
