year,raw_frequency,normalized_frequency,articles_per_year
1990,10,0.012048192771084338,830
1991,44,0.02030456852791878,2167
1992,53,0.027532467532467533,1925
1993,45,0.025906735751295335,1737
1994,46,0.033236994219653176,1384
1995,22,0.027603513174404015,797
1996,51,0.05622932745314223,907
1997,83,0.05161691542288557,1608
1998,47,0.013482501434308663,3486
1999,68,0.03008849557522124,2260
2000,24,0.022367194780987885,1073
2001,13,0.012770137524557957,1018
2002,13,0.019969278033794162,651
2003,6,0.015228426395939087,394
2004,4,0.009029345372460496,443
2005,65,0.037334865020103386,1741
2006,147,0.031045406546990496,4735
2007,101,0.01786030061892131,5655
2008,139,0.017071972488332105,8142
2009,170,0.03610875106202209,4708
2010,135,0.04647160068846816,2905
2011,108,0.040754716981132075,2650
2012,148,0.07088122605363985,2088
2013,130,0.04289013526888816,3031
2014,172,0.056878306878306875,3024
2015,276,0.050493962678375415,5466
2016,240,0.04358881220486742,5506
2017,92,0.044061302681992334,2088
2018,58,0.0463258785942492,1252
2019,49,0.033356024506466984,1469
2020,58,0.0593654042988741,977
2021,112,0.045845272206303724,2443
2022,132,0.040904865199876045,3227
2023,192,0.050833995234312944,3777
2024,234,0.05193075898801598,4506
2025,135,0.03746877601998335,3603
