year,raw_frequency,normalized_frequency,articles_per_year
1990,140,0.1686746987951807,830
1991,299,0.137978772496539,2167
1992,140,0.07272727272727272,1925
1993,79,0.04548071387449626,1737
1994,49,0.03540462427745665,1384
1995,108,0.1355081555834379,797
1996,65,0.07166482910694598,907
1997,188,0.11691542288557213,1608
1998,871,0.24985656913367757,3486
1999,300,0.13274336283185842,2260
2000,122,0.11369990680335508,1073
2001,154,0.1512770137524558,1018
2002,132,0.20276497695852536,651
2003,45,0.11421319796954314,394
2004,30,0.06772009029345373,443
2005,149,0.08558299827685238,1741
2006,364,0.07687434002111933,4735
2007,840,0.14854111405835543,5655
2008,2157,0.2649226234340457,8142
2009,1128,0.23959218351741715,4708
2010,526,0.1810671256454389,2905
2011,506,0.1909433962264151,2650
2012,368,0.17624521072796934,2088
2013,436,0.14384691520950182,3031
2014,390,0.12896825396825398,3024
2015,646,0.11818514452982071,5466
2016,764,0.1387577188521613,5506
2017,279,0.1336206896551724,2088
2018,210,0.16773162939297126,1252
2019,274,0.1865214431586113,1469
2020,237,0.24257932446264074,977
2021,330,0.13507981989357348,2443
2022,600,0.18593120545398203,3227
2023,515,0.13635160180037068,3777
2024,423,0.09387483355525965,4506
2025,585,0.1623646960865945,3603
