year,raw_frequency,normalized_frequency,articles_per_year
1990,374,0.4506024096385542,830
1991,964,0.44485463774803874,2167
1992,1041,0.5407792207792208,1925
1993,1199,0.6902705814622913,1737
1994,508,0.3670520231213873,1384
1995,311,0.39021329987452946,797
1996,284,0.3131201764057332,907
1997,537,0.333955223880597,1608
1998,1192,0.3419391853126793,3486
1999,672,0.2973451327433628,2260
2000,261,0.24324324324324326,1073
2001,289,0.28388998035363455,1018
2002,209,0.3210445468509985,651
2003,135,0.3426395939086294,394
2004,152,0.3431151241534989,443
2005,714,0.41010913268236643,1741
2006,2591,0.5472016895459345,4735
2007,2466,0.4360742705570292,5655
2008,3473,0.4265536723163842,8142
2009,2574,0.5467289719626168,4708
2010,1421,0.4891566265060241,2905
2011,1255,0.47358490566037736,2650
2012,925,0.44300766283524906,2088
2013,1321,0.43582975915539424,3031
2014,505,0.1669973544973545,3024
2015,946,0.1730698865715331,5466
2016,972,0.17653468942971304,5506
2017,557,0.26676245210727967,2088
2018,244,0.19488817891373802,1252
2019,193,0.13138189244383935,1469
2020,270,0.27635619242579323,977
2021,530,0.21694637740483014,2443
2022,554,0.17167647970251007,3227
2023,805,0.21313211543553084,3777
2024,689,0.15290723479804705,4506
2025,664,0.18429086872051068,3603
