year,raw_frequency,normalized_frequency,articles_per_year
1990,94,0.11325301204819277,830
1991,91,0.04199353945546839,2167
1992,77,0.04,1925
1993,34,0.01957397812320092,1737
1994,25,0.018063583815028903,1384
1995,11,0.013801756587202008,797
1996,16,0.017640573318632856,907
1997,10,0.006218905472636816,1608
1998,26,0.007458405048766495,3486
1999,27,0.011946902654867256,2260
2000,25,0.023299161230195712,1073
2001,36,0.03536345776031434,1018
2002,47,0.07219662058371736,651
2003,23,0.0583756345177665,394
2004,13,0.029345372460496615,443
2005,629,0.36128661688684666,1741
2006,921,0.1945089757127772,4735
2007,1535,0.27144120247568526,5655
2008,1247,0.15315647261115206,8142
2009,909,0.19307561597281223,4708
2010,645,0.22203098106712565,2905
2011,149,0.05622641509433962,2650
2012,175,0.08381226053639847,2088
2013,225,0.07423292642692181,3031
2014,82,0.027116402116402115,3024
2015,133,0.0243322356384925,5466
2016,202,0.036687250272430076,5506
2017,81,0.03879310344827586,2088
2018,78,0.06230031948881789,1252
2019,64,0.043567052416609936,1469
2020,39,0.03991811668372569,977
2021,77,0.03151862464183381,2443
2022,162,0.05020142547257515,3227
2023,136,0.03600741329097167,3777
2024,135,0.02996005326231691,4506
2025,115,0.031917846239245075,3603
