year,raw_frequency,normalized_frequency,articles_per_year
1990,174,0.20963855421686747,830
1991,264,0.1218274111675127,2167
1992,157,0.08155844155844155,1925
1993,240,0.1381692573402418,1737
1994,317,0.22904624277456648,1384
1995,94,0.11794228356336262,797
1996,195,0.21499448732083792,907
1997,386,0.24004975124378108,1608
1998,349,0.10011474469305795,3486
1999,442,0.19557522123893806,2260
2000,310,0.28890959925442683,1073
2001,140,0.137524557956778,1018
2002,124,0.19047619047619047,651
2003,84,0.2131979695431472,394
2004,143,0.3227990970654628,443
2005,745,0.4279149913842619,1741
2006,2142,0.45237592397043297,4735
2007,1835,0.3244916003536693,5655
2008,2045,0.25116678948661264,8142
2009,769,0.163338997451147,4708
2010,391,0.13459552495697075,2905
2011,561,0.21169811320754717,2650
2012,348,0.16666666666666666,2088
2013,405,0.13361926756845927,3031
2014,629,0.2080026455026455,3024
2015,1146,0.20965971459934138,5466
2016,1195,0.217035960770069,5506
2017,535,0.25622605363984674,2088
2018,368,0.2939297124600639,1252
2019,321,0.21851599727705923,1469
2020,186,0.19037871033776868,977
2021,1242,0.5083913221449038,2443
2022,2081,0.6448713975828944,3227
2023,2109,0.5583796664019063,3777
2024,2456,0.5450510430537062,4506
2025,1332,0.36969192339716905,3603
