year,raw_frequency,normalized_frequency,articles_per_year
1990,1603,1.9313253012048193,830
1991,3599,1.6608214120904476,2167
1992,2793,1.450909090909091,1925
1993,2250,1.2953367875647668,1737
1994,2500,1.80635838150289,1384
1995,1124,1.410288582183187,797
1996,1388,1.5303197353914002,907
1997,2216,1.3781094527363185,1608
1998,4114,1.1801491681009753,3486
1999,3746,1.6575221238938054,2260
2000,2431,2.2656104380242312,1073
2001,2570,2.524557956777996,1018
2002,1639,2.517665130568356,651
2003,1007,2.5558375634517767,394
2004,1273,2.873589164785553,443
2005,2954,1.6967260195290064,1741
2006,9665,2.041182682154171,4735
2007,10877,1.9234305923961097,5655
2008,13294,1.6327683615819208,8142
2009,5948,1.2633814783347495,4708
2010,4305,1.4819277108433735,2905
2011,3599,1.3581132075471698,2650
2012,3550,1.700191570881226,2088
2013,5611,1.8512042230287034,3031
2014,6414,2.121031746031746,3024
2015,11999,2.1952067325283573,5466
2016,12006,2.1805303305484927,5506
2017,4172,1.9980842911877394,2088
2018,3012,2.405750798722045,1252
2019,3453,2.3505786249149083,1469
2020,1949,1.9948822927328558,977
2021,4615,1.8890708145722472,2443
2022,7027,2.177564301208553,3227
2023,8235,2.1803018268467036,3777
2024,8651,1.91988459831336,4506
2025,5665,1.572300860394116,3603
