year,raw_frequency,normalized_frequency,articles_per_year
1990,209,0.25180722891566265,830
1991,415,0.1915089986155976,2167
1992,246,0.1277922077922078,1925
1993,193,0.1111111111111111,1737
1994,140,0.10115606936416185,1384
1995,76,0.09535759096612297,797
1996,99,0.10915104740904079,907
1997,198,0.12313432835820895,1608
1998,457,0.1310958118187034,3486
1999,322,0.1424778761061947,2260
2000,147,0.1369990680335508,1073
2001,124,0.12180746561886051,1018
2002,85,0.130568356374808,651
2003,28,0.07106598984771574,394
2004,61,0.13769751693002258,443
2005,313,0.1797817346352671,1741
2006,960,0.20274551214361142,4735
2007,1957,0.3460654288240495,5655
2008,2305,0.2830999754360108,8142
2009,998,0.21197960917587086,4708
2010,436,0.15008605851979345,2905
2011,353,0.1332075471698113,2650
2012,271,0.12978927203065135,2088
2013,439,0.14483668756186077,3031
2014,334,0.11044973544973545,3024
2015,766,0.14013904134650568,5466
2016,746,0.13548855793679623,5506
2017,295,0.14128352490421456,2088
2018,188,0.1501597444089457,1252
2019,206,0.14023144996596323,1469
2020,202,0.2067553735926305,977
2021,393,0.16086778550961933,2443
2022,651,0.2017353579175705,3227
2023,873,0.23113582208101668,3777
2024,983,0.21815357301375943,4506
2025,688,0.1909519844573966,3603
