year,raw_frequency,normalized_frequency,articles_per_year
1990,237,0.2855421686746988,830
1991,589,0.2718043377941855,2167
1992,402,0.20883116883116884,1925
1993,331,0.19055843408175013,1737
1994,546,0.3945086705202312,1384
1995,476,0.5972396486825596,797
1996,363,0.4002205071664829,907
1997,684,0.4253731343283582,1608
1998,1356,0.3889845094664372,3486
1999,1084,0.479646017699115,2260
2000,495,0.4613233923578751,1073
2001,356,0.34970530451866405,1018
2002,280,0.43010752688172044,651
2003,226,0.5736040609137056,394
2004,231,0.5214446952595937,443
2005,576,0.3308443423319931,1741
2006,1216,0.25681098204857444,4735
2007,2576,0.45552608311229,5655
2008,3639,0.44694178334561535,8142
2009,1512,0.3211554800339847,4708
2010,785,0.270223752151463,2905
2011,922,0.3479245283018868,2650
2012,528,0.25287356321839083,2088
2013,1107,0.3652259980204553,3031
2014,1333,0.4408068783068783,3024
2015,3002,0.5492133186974021,5466
2016,3220,0.5848165637486379,5506
2017,1227,0.5876436781609196,2088
2018,787,0.6285942492012779,1252
2019,812,0.5527569775357386,1469
2020,637,0.6519959058341863,977
2021,2273,0.9304134261154319,2443
2022,2927,0.9070343972730089,3227
2023,3435,0.90945194598888,3777
2024,4914,1.0905459387483356,4506
2025,3422,0.9497640854843187,3603
