year,raw_frequency,normalized_frequency,articles_per_year
1990,130,0.1566265060240964,830
1991,186,0.08583294877711121,2167
1992,149,0.0774025974025974,1925
1993,247,0.1421991940126655,1737
1994,156,0.11271676300578035,1384
1995,106,0.1329987452948557,797
1996,69,0.07607497243660419,907
1997,177,0.11007462686567164,1608
1998,258,0.07401032702237521,3486
1999,124,0.05486725663716814,2260
2000,41,0.03821062441752097,1073
2001,41,0.04027504911591356,1018
2002,32,0.04915514592933948,651
2003,18,0.04568527918781726,394
2004,24,0.05417607223476298,443
2005,214,0.12291786329695577,1741
2006,521,0.11003167898627243,4735
2007,516,0.09124668435013263,5655
2008,483,0.059322033898305086,8142
2009,333,0.07073067119796092,4708
2010,248,0.08537005163511188,2905
2011,242,0.09132075471698113,2650
2012,137,0.06561302681992337,2088
2013,168,0.05542725173210162,3031
2014,148,0.04894179894179894,3024
2015,370,0.06769118185144529,5466
2016,449,0.08154740283327279,5506
2017,371,0.17768199233716475,2088
2018,315,0.2515974440894569,1252
2019,347,0.236215112321307,1469
2020,78,0.07983623336745138,977
2021,111,0.04543593941874744,2443
2022,215,0.06662534862101023,3227
2023,203,0.05374635954461213,3777
2024,368,0.08166888592987129,4506
2025,1601,0.44435192894809883,3603
