variable,0,1,2,3
10y_2y_spread,-0.0046**,0.0042**,0.0019,-0.0026
10y_treasury_const_maturity_rate,-0.0028,-0.0026,-0.0003,-0.0035*
PCE_price_index,0.0031,0.0009,-0.0005,0.0036*
PPI_inflation,0.0024,0.0006,-0.0012,0.0020
cpi,0.0030,0.0007,-0.0007,0.0033
fed_reserve_discount_rate,0.0017,-0.0048**,-0.0025,-0.0027
fedfunds,0.0023,-0.0030,-0.0010,-0.0012
gdp,0.0018,-0.0038,-0.0052,0.0007
industrial_production,0.0024,0.0008,-0.0040*,-0.0016
m2_real_money_supply,0.0038*,0.0006,-0.0004,0.0051**
nat_fin_condition_indx,0.0033,0.0013,-0.0012,-0.0035*
real_gdp,0.0019,-0.0024,-0.0052,-0.0004
retail_sales,0.0041**,0.0002,-0.0012,0.0034
tot_business_inventories,0.0042**,-0.0000,-0.0009,0.0033
unemployment,-0.0030,0.0039**,0.0054***,0.0044**
