================================================================================
SUMMARY TABLE
================================================================================
IN SAMPLE
Model         Regime   R²        RMSE
2x2 Regimes   0        0.137150  0.049638
2x2 Regimes   1        0.106226  0.040501
2x2 Regimes   2        0.166001  0.039774
2x2 Regimes   3        0.204521  0.056117
HMM K=4       0        0.077781  0.043501
HMM K=4       1        0.083437  0.051812
HMM K=4       2        0.085322  0.050664
HMM K=4       3        0.117179  0.057031

OUT OF SAMPLE
Model         Regime   R²        RMSE
2x2 Regimes   0        0.088531  0.068358
2x2 Regimes   1        0.062523  0.053030
2x2 Regimes   2        0.109075  0.056216
2x2 Regimes   3        0.122911  0.079609
HMM K=4       0        0.046850  0.061455
HMM K=4       1        0.051457  0.070582
HMM K=4       2        0.031972  0.067421
HMM K=4       3        0.072056  0.079078
