variable,abs_t_stat,coefficient,t_stat,p_value,rank,horizon
growth_factor,2.8823682115964777,0.0061371909550471185,2.8823682115964777,0.004147170699256186,1,1
market_volatility_factor,1.7394654338364073,0.0037271396242144358,1.7394654338364073,0.08267691199653027,2,1
inflation_factor,1.0799893905831341,-0.002280830463520208,-1.0799893905831341,0.280759398560527,3,1
monetary_policy_factor,0.2590542822875388,-0.0005319971851340309,-0.2590542822875388,0.795718783192839,4,1
inflation_factor,1.0908998731363047,-0.0023347943252595166,-1.0908998731363047,0.2759379441733081,1,3
market_volatility_factor,0.8677127758398699,0.0018841055463568435,0.8677127758398699,0.38604357587391713,2,3
growth_factor,0.8502356215446908,0.0018347176359158552,0.8502356215446908,0.3956750910723379,3,3
monetary_policy_factor,0.3461225726682473,-0.0007203890344087478,-0.3461225726682473,0.7294226896805198,4,3
inflation_factor,2.210231145476267,-0.0047191471365138175,-2.210231145476267,0.027627593714089516,1,6
market_volatility_factor,0.8815623664934665,-0.0019098567507598147,-0.8815623664934665,0.37851772970534125,2,6
monetary_policy_factor,0.7648358493853809,-0.0015880369310473062,-0.7648358493853809,0.444798819705547,3,6
growth_factor,0.10563847239476189,-0.0002274086010208758,-0.10563847239476189,0.9159196324099494,4,6
monetary_policy_factor,1.0387167157536745,-0.0021702101232222255,-1.0387167157536745,0.2995427679605789,1,12
growth_factor,0.681952146272431,-0.001479896291597246,-0.681952146272431,0.4956505457979279,2,12
inflation_factor,0.4959331029333673,-0.00106587133621448,-0.4959331029333673,0.6202047784897378,3,12
market_volatility_factor,0.1883066423640302,0.00041073753947459715,0.1883066423640302,0.8507285450612561,4,12
monetary_policy_factor,1.6235939504547303,-0.0034232309623776296,-1.6235939504547303,0.10524633557953988,1,24
inflation_factor,1.1940247370347912,0.002594682812269586,1.1940247370347912,0.23317237981368466,2,24
market_volatility_factor,0.4420037937075478,0.0009730776610292276,0.4420037937075478,0.6587241439257014,3,24
growth_factor,0.20723640931572856,0.0004551317323916025,0.20723640931572856,0.8359301680653068,4,24
