horizon,variable,coefficient,std_error,t_stat,p_value,abs_t_stat,significant_5pct,significant_1pct
1,inflation_factor,-0.002280830463520208,0.0021119008051446566,-1.0799893905831341,0.280759398560527,1.0799893905831341,0,0
1,growth_factor,0.0061371909550471185,0.0021292182346293186,2.8823682115964777,0.004147170699256186,2.8823682115964777,1,1
1,monetary_policy_factor,-0.0005319971851340309,0.0020536127812144696,-0.2590542822875388,0.795718783192839,0.2590542822875388,0,0
1,market_volatility_factor,0.0037271396242144358,0.0021426925489368273,1.7394654338364073,0.08267691199653027,1.7394654338364073,0,0
1,intercept,0.005654747937577162,,,,,0,0
3,inflation_factor,-0.0023347943252595166,0.002140246215765937,-1.0908998731363047,0.2759379441733081,1.0908998731363047,0,0
3,growth_factor,0.0018347176359158552,0.0021578931644649015,0.8502356215446908,0.3956750910723379,0.8502356215446908,0,0
3,monetary_policy_factor,-0.0007203890344087478,0.002081311914606704,-0.3461225726682473,0.7294226896805198,0.3461225726682473,0,0
3,market_volatility_factor,0.0018841055463568435,0.0021713470157601338,0.8677127758398699,0.38604357587391713,0.8677127758398699,0,0
3,intercept,0.005635409138521441,,,,,0,0
6,inflation_factor,-0.0047191471365138175,0.002135137379713705,-2.210231145476267,0.027627593714089516,2.210231145476267,1,0
6,growth_factor,-0.0002274086010208758,0.002152706261891685,-0.10563847239476189,0.9159196324099494,0.10563847239476189,0,0
6,monetary_policy_factor,-0.0015880369310473062,0.0020763107957393035,-0.7648358493853809,0.444798819705547,0.7648358493853809,0,0
6,market_volatility_factor,-0.0019098567507598147,0.0021664454193485233,-0.8815623664934665,0.37851772970534125,0.8815623664934665,0,0
6,intercept,0.005590188861578996,,,,,0,0
12,inflation_factor,-0.00106587133621448,0.0021492240181387704,-0.4959331029333673,0.6202047784897378,0.4959331029333673,0,0
12,growth_factor,-0.001479896291597246,0.002170088179480627,-0.681952146272431,0.4956505457979279,0.681952146272431,0,0
12,monetary_policy_factor,-0.0021702101232222255,0.0020893185700275934,-1.0387167157536745,0.2995427679605789,1.0387167157536745,0,0
12,market_volatility_factor,0.00041073753947459715,0.002181216415513206,0.1883066423640302,0.8507285450612561,0.1883066423640302,0,0
12,intercept,0.005932395476392052,,,,,0,0
24,inflation_factor,0.002594682812269586,0.0021730561618959012,1.1940247370347912,0.23317237981368466,1.1940247370347912,0,0
24,growth_factor,0.0004551317323916025,0.0021961958031139245,0.20723640931572856,0.8359301680653068,0.20723640931572856,0,0
24,monetary_policy_factor,-0.0034232309623776296,0.0021084280102293207,-1.6235939504547303,0.10524633557953988,1.6235939504547303,0,0
24,market_volatility_factor,0.0009730776610292276,0.0022015142740450444,0.4420037937075478,0.6587241439257014,0.4420037937075478,0,0
24,intercept,0.005635958454655476,,,,,0,0
