K,AIC,BIC,log_likelihood,n_params,n_samples,combination,variables,n_variables,best_AIC,best_BIC
2,3712.471411581288,3789.594752297342,-1837.235705790644,19,428,all_4vars,"growth_factor, inflation_factor, monetary_policy_factor, market_volatility_factor",4,False,False
3,3340.0902060448593,3469.9821483034766,-1638.0451030224297,32,428,all_4vars,"growth_factor, inflation_factor, monetary_policy_factor, market_volatility_factor",4,False,False
4,3046.7367098776663,3237.5155000700106,-1476.3683549388331,47,428,all_4vars,"growth_factor, inflation_factor, monetary_policy_factor, market_volatility_factor",4,False,False
5,2932.479966032453,3192.263850549688,-1402.2399830162265,64,428,all_4vars,"growth_factor, inflation_factor, monetary_policy_factor, market_volatility_factor",4,False,False
6,2753.795276420252,3090.702501653541,-1293.897638210126,83,428,all_4vars,"growth_factor, inflation_factor, monetary_policy_factor, market_volatility_factor",4,False,False
7,2725.7205373569045,3147.8693496974115,-1258.8602686784523,104,428,all_4vars,"growth_factor, inflation_factor, monetary_policy_factor, market_volatility_factor",4,False,False
8,2529.405285915642,3044.91393175453,-1137.702642957821,127,428,all_4vars,"growth_factor, inflation_factor, monetary_policy_factor, market_volatility_factor",4,False,True
9,2558.4297396255724,3175.4164653540056,-1127.2148698127862,152,428,all_4vars,"growth_factor, inflation_factor, monetary_policy_factor, market_volatility_factor",4,False,False
10,2413.4491065438597,3140.032158553001,-1027.7245532719298,179,428,all_4vars,"growth_factor, inflation_factor, monetary_policy_factor, market_volatility_factor",4,True,False
2,1889.5379497258034,1934.188304877203,-933.7689748629017,11,428,2vars_growth_inflation,"growth_factor, inflation_factor",2,False,True
3,1865.4554790485977,1946.6379429602337,-912.7277395242988,20,428,2vars_growth_inflation,"growth_factor, inflation_factor",2,False,False
4,1823.846489692682,1949.6793087557178,-880.923244846341,31,428,2vars_growth_inflation,"growth_factor, inflation_factor",2,False,False
5,1797.2711915685377,1975.8726121741367,-854.6355957842688,44,428,2vars_growth_inflation,"growth_factor, inflation_factor",2,True,False
6,1811.1202608367726,2050.6085293760984,-846.5601304183863,59,428,2vars_growth_inflation,"growth_factor, inflation_factor",2,False,False
7,1835.7002644305535,2144.19362729477,-841.8501322152767,76,428,2vars_growth_inflation,"growth_factor, inflation_factor",2,False,False
8,1842.5193877874437,2228.1360913677145,-826.2596938937219,95,428,2vars_growth_inflation,"growth_factor, inflation_factor",2,False,False
9,1871.206698763447,2342.0649894509356,-819.6033493817235,116,428,2vars_growth_inflation,"growth_factor, inflation_factor",2,False,False
10,1902.070478848866,2466.288603034736,-812.035239424433,139,428,2vars_growth_inflation,"growth_factor, inflation_factor",2,False,False
2,1385.4654281045475,1430.1157832559472,-681.7327140522738,11,428,2vars_growth_monetary_policy,"growth_factor, monetary_policy_factor",2,False,False
3,1313.1425396641027,1394.3250035757387,-636.5712698320514,20,428,2vars_growth_monetary_policy,"growth_factor, monetary_policy_factor",2,False,False
4,828.0971624148515,953.9299814778872,-383.04858120742574,31,428,2vars_growth_monetary_policy,"growth_factor, monetary_policy_factor",2,False,False
5,682.8242128404784,861.4256334460774,-297.4121064202392,44,428,2vars_growth_monetary_policy,"growth_factor, monetary_policy_factor",2,False,True
6,691.1999475361174,930.6882160754434,-286.5999737680587,59,428,2vars_growth_monetary_policy,"growth_factor, monetary_policy_factor",2,False,False
7,613.6032240708023,922.0965869350189,-230.80161203540118,76,428,2vars_growth_monetary_policy,"growth_factor, monetary_policy_factor",2,False,False
8,495.466382927403,881.0830865076737,-152.7331914637015,95,428,2vars_growth_monetary_policy,"growth_factor, monetary_policy_factor",2,False,False
9,522.9640702381871,993.8223609256755,-145.48203511909355,116,428,2vars_growth_monetary_policy,"growth_factor, monetary_policy_factor",2,False,False
10,463.2995071432231,1027.5176313290929,-92.64975357161156,139,428,2vars_growth_monetary_policy,"growth_factor, monetary_policy_factor",2,True,False
2,1814.967970994523,1859.6183261459228,-896.4839854972615,11,428,2vars_growth_market_volatility,"growth_factor, market_volatility_factor",2,False,False
3,1747.6062664979606,1828.7887304095966,-853.8031332489803,20,428,2vars_growth_market_volatility,"growth_factor, market_volatility_factor",2,False,False
4,1496.270741568876,1622.1035606319117,-717.135370784438,31,428,2vars_growth_market_volatility,"growth_factor, market_volatility_factor",2,False,False
5,1422.3483636825451,1600.9497842881442,-667.1741818412726,44,428,2vars_growth_market_volatility,"growth_factor, market_volatility_factor",2,False,True
6,1385.1341636654506,1624.6224322047765,-633.5670818327253,59,428,2vars_growth_market_volatility,"growth_factor, market_volatility_factor",2,True,False
7,1391.639315678716,1700.1326785429326,-619.819657839358,76,428,2vars_growth_market_volatility,"growth_factor, market_volatility_factor",2,False,False
8,1445.9772758473903,1831.593979427661,-627.9886379236951,95,428,2vars_growth_market_volatility,"growth_factor, market_volatility_factor",2,False,False
9,1442.6329353982667,1913.491226085755,-605.3164676991333,116,428,2vars_growth_market_volatility,"growth_factor, market_volatility_factor",2,False,False
10,1456.948481695993,2021.1666058818628,-589.4742408479965,139,428,2vars_growth_market_volatility,"growth_factor, market_volatility_factor",2,False,False
2,1506.7437556182203,1551.39411076962,-742.3718778091102,11,428,2vars_inflation_monetary_policy,"inflation_factor, monetary_policy_factor",2,False,False
