combination,K,regime,significant_variables
2vars_growth_inflation,2,0,10y_treasury_const_maturity_rate=-0.0234 (p=0.016); PCE_price_index=-0.4041 (p=0.032); PPI_inflation=-0.0984 (p=0.036); cpi=0.4767 (p=0.013); export_price_index=0.0839 (p=0.000); nat_fin_condition_indx=0.0147 (p=0.001); vix=-0.0349 (p=0.000)
2vars_growth_inflation,2,1,cpi=0.5941 (p=0.041); export_price_index=0.0779 (p=0.013); nat_fin_condition_indx=0.0143 (p=0.007); vix=-0.0394 (p=0.000)
2vars_growth_inflation,3,0,10y_treasury_const_maturity_rate=-0.0235 (p=0.035); cpi=0.4894 (p=0.027); export_price_index=0.0847 (p=0.001); nat_fin_condition_indx=0.0143 (p=0.007); vix=-0.0347 (p=0.000)
2vars_growth_inflation,3,1,export_price_index=0.0771 (p=0.031); nat_fin_condition_indx=0.0149 (p=0.015); vix=-0.0394 (p=0.000)
2vars_growth_inflation,3,2,vix=-0.0365 (p=0.000)
2vars_growth_inflation,4,0,export_price_index=0.0868 (p=0.003); nat_fin_condition_indx=0.0145 (p=0.015); vix=-0.0347 (p=0.000)
2vars_growth_inflation,4,1,vix=-0.0364 (p=0.000)
2vars_growth_inflation,4,2,vix=-0.0365 (p=0.000)
2vars_growth_inflation,4,3,nat_fin_condition_indx=0.0146 (p=0.041); vix=-0.0393 (p=0.000)
2vars_growth_inflation,5,0,vix=-0.0391 (p=0.000)
2vars_growth_inflation,5,1,vix=-0.0371 (p=0.000)
2vars_growth_inflation,5,2,export_price_index=0.0854 (p=0.008); nat_fin_condition_indx=0.0136 (p=0.038); vix=-0.0347 (p=0.000)
2vars_growth_inflation,5,3,vix=-0.0363 (p=0.001)
2vars_growth_inflation,5,4,vix=-0.0364 (p=0.001)
2vars_growth_inflation,6,0,export_price_index=0.0858 (p=0.014); vix=-0.0348 (p=0.000)
2vars_growth_inflation,6,1,vix=-0.0388 (p=0.001)
2vars_growth_inflation,6,2,vix=-0.0364 (p=0.003)
2vars_growth_inflation,6,3,vix=-0.0364 (p=0.003)
2vars_growth_inflation,6,4,vix=-0.0370 (p=0.001)
2vars_growth_inflation,6,5,vix=-0.0363 (p=0.002)
2vars_growth_market_volatility,2,0,PPI_inflation=-0.0928 (p=0.034); cpi=0.4167 (p=0.025); export_price_index=0.0792 (p=0.000); nat_fin_condition_indx=0.0144 (p=0.001); vix=-0.0353 (p=0.000)
2vars_growth_market_volatility,2,1,10y_treasury_const_maturity_rate=-0.0367 (p=0.032); cpi=0.6889 (p=0.024); export_price_index=0.0870 (p=0.013); nat_fin_condition_indx=0.0140 (p=0.010); vix=-0.0396 (p=0.000)
2vars_growth_market_volatility,3,0,cpi=0.4803 (p=0.038); export_price_index=0.0655 (p=0.007); nat_fin_condition_indx=0.0120 (p=0.024); vix=-0.0352 (p=0.000)
2vars_growth_market_volatility,3,1,vix=-0.0364 (p=0.000)
2vars_growth_market_volatility,3,2,10y_treasury_const_maturity_rate=-0.0346 (p=0.032); export_price_index=0.0935 (p=0.007); nat_fin_condition_indx=0.0159 (p=0.005); vix=-0.0395 (p=0.000)
2vars_growth_market_volatility,4,0,nat_fin_condition_indx=0.0148 (p=0.043); vix=-0.0394 (p=0.000)
2vars_growth_market_volatility,4,1,export_price_index=0.0650 (p=0.023); nat_fin_condition_indx=0.0122 (p=0.046); vix=-0.0352 (p=0.000)
2vars_growth_market_volatility,4,2,export_price_index=0.0877 (p=0.018); nat_fin_condition_indx=0.0163 (p=0.022); vix=-0.0377 (p=0.000)
2vars_growth_market_volatility,4,3,vix=-0.0365 (p=0.000)
2vars_growth_market_volatility,5,0,vix=-0.0378 (p=0.000)
2vars_growth_market_volatility,5,1,vix=-0.0371 (p=0.000)
2vars_growth_market_volatility,5,2,vix=-0.0395 (p=0.000)
2vars_growth_market_volatility,5,3,vix=-0.0365 (p=0.001)
2vars_growth_market_volatility,5,4,export_price_index=0.0693 (p=0.043); vix=-0.0344 (p=0.000)
2vars_growth_market_volatility,6,0,vix=-0.0367 (p=0.001)
2vars_growth_market_volatility,6,1,vix=-0.0378 (p=0.000)
2vars_growth_market_volatility,6,2,vix=-0.0401 (p=0.000)
2vars_growth_market_volatility,6,3,vix=-0.0364 (p=0.003)
2vars_growth_market_volatility,6,4,vix=-0.0342 (p=0.000)
2vars_growth_market_volatility,6,5,vix=-0.0369 (p=0.001)
2vars_growth_monetary_policy,2,0,PCE_price_index=-0.5324 (p=0.024); cpi=0.6095 (p=0.010); export_price_index=0.0802 (p=0.006); nat_fin_condition_indx=0.0140 (p=0.002); vix=-0.0380 (p=0.000)
2vars_growth_monetary_policy,2,1,10y_treasury_const_maturity_rate=-0.0260 (p=0.012); export_price_index=0.0788 (p=0.001); nat_fin_condition_indx=0.0141 (p=0.004); vix=-0.0353 (p=0.000)
2vars_growth_monetary_policy,3,0,10y_treasury_const_maturity_rate=-0.0261 (p=0.027); export_price_index=0.0786 (p=0.004); nat_fin_condition_indx=0.0141 (p=0.012); vix=-0.0353 (p=0.000)
2vars_growth_monetary_policy,3,1,cpi=0.5750 (p=0.037); export_price_index=0.0805 (p=0.016); nat_fin_condition_indx=0.0143 (p=0.007); vix=-0.0379 (p=0.000)
2vars_growth_monetary_policy,3,2,vix=-0.0364 (p=0.000)
2vars_growth_monetary_policy,4,0,export_price_index=0.0771 (p=0.043); nat_fin_condition_indx=0.0141 (p=0.026); vix=-0.0379 (p=0.000)
2vars_growth_monetary_policy,4,1,nat_fin_condition_indx=0.0143 (p=0.034); vix=-0.0387 (p=0.000)
2vars_growth_monetary_policy,4,2,export_price_index=0.0836 (p=0.012); vix=-0.0332 (p=0.000)
2vars_growth_monetary_policy,4,3,vix=-0.0364 (p=0.000)
2vars_growth_monetary_policy,5,0,vix=-0.0332 (p=0.000)
2vars_growth_monetary_policy,5,1,vix=-0.0384 (p=0.000)
2vars_growth_monetary_policy,5,2,vix=-0.0364 (p=0.001)
2vars_growth_monetary_policy,5,3,nat_fin_condition_indx=0.0141 (p=0.044); vix=-0.0379 (p=0.000)
2vars_growth_monetary_policy,5,4,export_price_index=0.0797 (p=0.045); nat_fin_condition_indx=0.0154 (p=0.046); vix=-0.0369 (p=0.000)
2vars_growth_monetary_policy,6,0,export_price_index=0.0835 (p=0.037); vix=-0.0332 (p=0.000)
2vars_growth_monetary_policy,6,1,vix=-0.0390 (p=0.000)
2vars_growth_monetary_policy,6,2,vix=-0.0372 (p=0.002)
2vars_growth_monetary_policy,6,3,vix=-0.0364 (p=0.003)
2vars_growth_monetary_policy,6,4,vix=-0.0379 (p=0.000)
2vars_growth_monetary_policy,6,5,vix=-0.0360 (p=0.001)
2vars_inflation_market_volatility,2,0,PCE_price_index=-0.4232 (p=0.042); cpi=0.5003 (p=0.017); export_price_index=0.0653 (p=0.003); nat_fin_condition_indx=0.0119 (p=0.012); vix=-0.0351 (p=0.000)
2vars_inflation_market_volatility,2,1,10y_treasury_const_maturity_rate=-0.0326 (p=0.017); PPI_inflation=-0.1289 (p=0.038); cpi=0.5047 (p=0.038); export_price_index=0.0913 (p=0.002); nat_fin_condition_indx=0.0156 (p=0.001); vix=-0.0393 (p=0.000)
2vars_inflation_market_volatility,3,0,export_price_index=0.0934 (p=0.005); nat_fin_condition_indx=0.0177 (p=0.005); vix=-0.0393 (p=0.000)
2vars_inflation_market_volatility,3,1,export_price_index=0.0823 (p=0.046); nat_fin_condition_indx=0.0129 (p=0.046); vix=-0.0377 (p=0.000)
2vars_inflation_market_volatility,3,2,cpi=0.5180 (p=0.032); export_price_index=0.0652 (p=0.011); nat_fin_condition_indx=0.0121 (p=0.026); vix=-0.0353 (p=0.000)
2vars_inflation_market_volatility,4,0,cpi=0.5588 (p=0.049); export_price_index=0.0683 (p=0.025); vix=-0.0346 (p=0.000)
2vars_inflation_market_volatility,4,1,export_price_index=0.0824 (p=0.036); nat_fin_condition_indx=0.0154 (p=0.042); vix=-0.0372 (p=0.000)
2vars_inflation_market_volatility,4,2,export_price_index=0.0845 (p=0.028); nat_fin_condition_indx=0.0159 (p=0.033); vix=-0.0391 (p=0.000)
2vars_inflation_market_volatility,4,3,vix=-0.0382 (p=0.000)
2vars_inflation_market_volatility,5,0,vix=-0.0379 (p=0.000)
2vars_inflation_market_volatility,5,1,export_price_index=0.0687 (p=0.040); vix=-0.0347 (p=0.000)
2vars_inflation_market_volatility,5,2,vix=-0.0390 (p=0.000)
2vars_inflation_market_volatility,5,3,export_price_index=0.0852 (p=0.046); vix=-0.0382 (p=0.000)
2vars_inflation_market_volatility,5,4,vix=-0.0361 (p=0.000)
2vars_inflation_market_volatility,6,0,vix=-0.0360 (p=0.002)
2vars_inflation_market_volatility,6,1,vix=-0.0363 (p=0.001)
2vars_inflation_market_volatility,6,2,vix=-0.0395 (p=0.000)
2vars_inflation_market_volatility,6,3,vix=-0.0382 (p=0.001)
2vars_inflation_market_volatility,6,4,vix=-0.0349 (p=0.000)
2vars_inflation_market_volatility,6,5,vix=-0.0364 (p=0.001)
2vars_inflation_monetary_policy,2,0,10y_treasury_const_maturity_rate=-0.0246 (p=0.016); cpi=0.4562 (p=0.035); export_price_index=0.0820 (p=0.000); nat_fin_condition_indx=0.0141 (p=0.004); vix=-0.0355 (p=0.000)
2vars_inflation_monetary_policy,2,1,PCE_price_index=-0.4884 (p=0.045); cpi=0.5791 (p=0.017); export_price_index=0.0770 (p=0.009); nat_fin_condition_indx=0.0139 (p=0.004); vix=-0.0379 (p=0.000)
2vars_inflation_monetary_policy,3,0,cpi=0.5783 (p=0.038); export_price_index=0.0771 (p=0.023); nat_fin_condition_indx=0.0138 (p=0.014); vix=-0.0379 (p=0.000)
2vars_inflation_monetary_policy,3,1,export_price_index=0.0798 (p=0.013); nat_fin_condition_indx=0.0129 (p=0.048); vix=-0.0332 (p=0.000)
2vars_inflation_monetary_policy,3,2,export_price_index=0.0772 (p=0.014); nat_fin_condition_indx=0.0147 (p=0.011); vix=-0.0385 (p=0.000)
2vars_inflation_monetary_policy,4,0,vix=-0.0332 (p=0.000)
2vars_inflation_monetary_policy,4,1,nat_fin_condition_indx=0.0143 (p=0.036); vix=-0.0386 (p=0.000)
2vars_inflation_monetary_policy,4,2,export_price_index=0.0843 (p=0.026); vix=-0.0366 (p=0.000)
2vars_inflation_monetary_policy,4,3,export_price_index=0.0767 (p=0.044); nat_fin_condition_indx=0.0139 (p=0.028); vix=-0.0380 (p=0.000)
2vars_inflation_monetary_policy,5,0,vix=-0.0363 (p=0.001)
2vars_inflation_monetary_policy,5,1,vix=-0.0387 (p=0.000)
