combination,K,regime,variable,coefficient,t_statistic,p_value,n_observations
2vars_growth_inflation,2,0,10y_treasury_const_maturity_rate,-0.0234328129077193,-2.416019150770753,0.01647246086170373,356.0
2vars_growth_inflation,2,0,PCE_price_index,-0.4040542490244848,-2.1536854418955858,0.03230581115262954,356.0
2vars_growth_inflation,2,0,PPI_inflation,-0.09836275226750917,-2.1042216798228672,0.036446188282719394,356.0
2vars_growth_inflation,2,0,cpi,0.4767150125059949,2.48981111692687,0.013489660596495368,356.0
2vars_growth_inflation,2,0,export_price_index,0.08389305687784897,3.7726948084046965,0.00020552536497597806,356.0
2vars_growth_inflation,2,0,nat_fin_condition_indx,0.014674034012609324,3.214122478845134,0.0014962888567731092,356.0
2vars_growth_inflation,2,0,vix,-0.034861298778540335,-8.248598241803148,1.2434497875801753e-14,356.0
2vars_growth_inflation,2,1,cpi,0.5940520476707271,2.074933434427918,0.040717918360992256,356.0
2vars_growth_inflation,2,1,export_price_index,0.0779169330745957,2.544438183417,0.01257073138805187,356.0
2vars_growth_inflation,2,1,nat_fin_condition_indx,0.014327292440680511,2.7490253610885635,0.00716462760239045,356.0
2vars_growth_inflation,2,1,vix,-0.03941471620347413,-6.325616300136475,8.404249740578962e-09,356.0
2vars_growth_inflation,3,0,10y_treasury_const_maturity_rate,-0.023451316934217124,-2.124197454053771,0.03505136593436231,356.0
2vars_growth_inflation,3,0,cpi,0.4894169513883695,2.2279058439579367,0.027154878312080744,356.0
2vars_growth_inflation,3,0,export_price_index,0.08466448416592556,3.3135680884194287,0.0011184124459566736,356.0
2vars_growth_inflation,3,0,nat_fin_condition_indx,0.01429565486789722,2.72477612171043,0.007084687988314631,356.0
2vars_growth_inflation,3,0,vix,-0.03470138107359596,-7.158112705818014,2.1366686198120988e-11,356.0
2vars_growth_inflation,3,1,export_price_index,0.07705071530618024,2.203143520536145,0.03079044088952232,356.0
2vars_growth_inflation,3,1,nat_fin_condition_indx,0.014907531862738304,2.49782609037379,0.014785070330563865,356.0
2vars_growth_inflation,3,1,vix,-0.03939303358984298,-5.548952247155651,4.5277302129775876e-07,356.0
2vars_growth_inflation,3,2,vix,-0.03650759435233759,-4.5242143489930475,2.9036612018584762e-05,356.0
2vars_growth_inflation,4,0,export_price_index,0.08678714314830921,3.0387031181695403,0.002829472091545382,356.0
2vars_growth_inflation,4,0,nat_fin_condition_indx,0.01449983786942375,2.452511487138529,0.015399983613616497,356.0
2vars_growth_inflation,4,0,vix,-0.034741954555182475,-6.484568343339242,1.3777292640071437e-09,356.0
2vars_growth_inflation,4,1,vix,-0.036448188997378186,-3.9836263621993306,0.0002349196549278343,356.0
2vars_growth_inflation,4,2,vix,-0.036546151077512294,-4.108143733865908,0.00014697829782672756,356.0
2vars_growth_inflation,4,3,nat_fin_condition_indx,0.014567106944689335,2.0946509456247346,0.04100099626435272,356.0
2vars_growth_inflation,4,3,vix,-0.0393261421190872,-4.741741790628208,1.637732421388982e-05,356.0
2vars_growth_inflation,5,0,vix,-0.039064140855179785,-4.193206290894982,0.00013825006381784632,356.0
2vars_growth_inflation,5,1,vix,-0.037050143465831555,-3.8277948158530237,0.0003898026719768577,356.0
2vars_growth_inflation,5,2,export_price_index,0.08541988704426458,2.6919810325635347,0.008203923444725314,356.0
2vars_growth_inflation,5,2,nat_fin_condition_indx,0.013634653068442254,2.0945303502768793,0.03849052540477671,356.0
2vars_growth_inflation,5,2,vix,-0.034706503333691505,-5.845889320180405,5.1522472288567656e-08,356.0
2vars_growth_inflation,5,3,vix,-0.03630931912323873,-3.633778074591607,0.0007963645346114046,356.0
2vars_growth_inflation,5,4,vix,-0.03643115282340172,-3.5691824957625156,0.0009976334275214604,356.0
2vars_growth_inflation,6,0,export_price_index,0.08577230136375708,2.4998753870658565,0.014145947653045665,356.0
2vars_growth_inflation,6,0,vix,-0.03482691935566546,-5.426990030541716,4.4055600145753715e-07,356.0
2vars_growth_inflation,6,1,vix,-0.038757637380101115,-3.6875263496746444,0.0007930200637498164,356.0
2vars_growth_inflation,6,2,vix,-0.03644402120128689,-3.2530987836505885,0.0027608025705498918,356.0
