Label,Combination,K,N Significant Vars,N Regimes,Mean Coef,Std Coef,Mean P-value,Mean |t-stat|
"2vars_growth_inflation, K=2",2vars_growth_inflation,2,7,2,0.060132049763702615,0.27021532653492586,0.01462447462463576,3.463015108867183
"2vars_market_volatility_monetary_policy, K=2",2vars_market_volatility_monetary_policy,2,7,2,0.0020872954461036847,0.27940912657556893,0.013338106725057352,3.52819031196356
"2vars_inflation_market_volatility, K=2",2vars_inflation_market_volatility,2,7,2,0.048173365110157684,0.2630517746018675,0.015523360010934338,3.471489209709877
"2vars_growth_market_volatility, K=2",2vars_growth_market_volatility,2,6,2,0.10959964273299203,0.24836548667987218,0.01390357553595975,3.5827816650742705
"2vars_growth_monetary_policy, K=2",2vars_growth_monetary_policy,2,6,2,0.018317933256343146,0.2890310976655637,0.006613446373704642,3.8205362141641905
"all_4vars, K=2",all_4vars,2,6,2,0.06284090463631656,0.29405197385300497,0.012050738175462589,3.6066272564861803
"2vars_inflation_monetary_policy, K=2",2vars_inflation_monetary_policy,2,6,2,0.06358525729765817,0.2901867272534415,0.0129836190832753,3.5843818488348105
"2vars_growth_inflation, K=3",2vars_growth_inflation,3,5,3,0.06069800129345747,0.16753394416314815,0.012890482811911873,3.5914107134464683
"2vars_growth_market_volatility, K=3",2vars_growth_market_volatility,3,5,3,0.057965557444475006,0.16553550340120002,0.012596442313552654,3.625276955804636
"2vars_growth_monetary_policy, K=3",2vars_growth_monetary_policy,3,5,3,0.06963716581470608,0.1951622382701485,0.011433183847901814,3.6067325547769684
