variable,0,1,2,3
10y_2y_spread,0.14442722153300158,0.9773082727399063,0.021709385610859888,0.8268393634360751
10y_treasury_const_maturity_rate,0.2460330747256516,0.9253212103843256,0.10071981156037513,0.01887895438233933
PCE_price_index,0.9008143416674168,0.919266527501649,0.7614324518628266,0.012573633632711356
PPI_inflation,0.9702873344790457,0.9858905220312744,0.7244272907062521,0.005859437779764054
cpi,0.8922992595109205,0.9117480015419441,0.7549749547750007,0.01292991238587593
fed_reserve_discount_rate,0.16482985790063598,0.8076312553694103,0.0007616085044475085,0.047363861557147446
fedfunds,0.1183262038319044,0.8905989605716897,0.0010343839918112163,0.05093631934628173
gdp,0.22122632111766594,0.8707720087003781,0.8487236719623088,0.25963397500404994
industrial_production,0.5069048927306758,0.6241715158697614,0.22553140034700903,0.043639688805588106
m2_real_money_supply,0.8540414061875206,0.640346696206334,0.4903533265675364,0.022513801894547436
nat_fin_condition_indx,0.4602459800079093,0.9783520561128674,0.07748986740761188,0.29185518446553216
real_gdp,0.3375497234280429,0.9918737747614697,0.8386195756999044,0.24617747962743652
retail_sales,0.7179669448779311,0.7448599007767556,0.8742658582404497,0.04480781150961066
tot_business_inventories,0.7404968738904802,0.8854889822058001,0.866591361819478,0.03325916358056702
unemployment,0.6561916649171047,0.6013825763481457,0.11586738290370358,0.93333427956135
