variable,0,1,2,3
10y_2y_spread,0.0036,-0.0088*,-0.0009,0.0000
10y_treasury_const_maturity_rate,0.0015,-0.0038,0.0003,-0.0056
PCE_price_index,0.0011,0.0033,-0.0005,0.0058
PPI_inflation,0.0024,0.0014,-0.0020,0.0048
cpi,0.0011,0.0033,-0.0005,0.0056
fed_reserve_discount_rate,-0.0008,-0.0013,-0.0029,-0.0073*
fedfunds,-0.0010,0.0020,-0.0013,-0.0066
gdp,0.0058,0.0024,0.0007,0.0112*
industrial_production,-0.0027,0.0048,-0.0026,-0.0013
m2_real_money_supply,0.0012,0.0029,-0.0005,0.0070
nat_fin_condition_indx,0.0021,-0.0015,-0.0070*,0.0016
real_gdp,0.0039,0.0029,-0.0003,0.0090
retail_sales,0.0015,0.0019,-0.0013,0.0045
tot_business_inventories,0.0012,0.0024,-0.0013,0.0060
unemployment,0.0070*,-0.0039,0.0035,0.0069
