regime,rank,variable,avg_abs_tstat,avg_coefficient,avg_p_value
Goldilocks,1,10y_2y_spread,1.0273297056480784,-0.0016491769495290583,0.3785639635779329
Goldilocks,2,unemployment,1.0057994063927451,0.00088464414114026,0.39474490025852343
Goldilocks,3,gdp,0.8634530978312839,0.0052178136938182615,0.4073055641452795
Overheating,1,10y_2y_spread,1.0174697059163222,-0.001457737815247977,0.4208720745614881
Overheating,2,unemployment,0.8649034156091598,0.0008595896181685833,0.42468366449199374
Overheating,3,industrial_production,0.8453848021436186,0.0025623133875603173,0.41821806505090386
Stagflation,1,unemployment,1.522649926379718,0.006539616821299137,0.17696448849506435
Stagflation,2,industrial_production,1.4533802458036373,-0.006332747865719642,0.21250318223574755
Stagflation,3,fed_reserve_discount_rate,1.4441327775471247,-0.00558804947401065,0.361325446542402
Slowdown,1,m2_real_money_supply,1.9903541082523357,0.00819843492959426,0.06867122721070662
Slowdown,2,PCE_price_index,1.7733973274307446,0.007234633421594509,0.12936190080575088
Slowdown,3,10y_treasury_const_maturity_rate,1.7345255244637512,-0.007100976963897585,0.1309476077651051
