variable,coefficient_mean,coefficient_std,coefficient_min,coefficient_max,t_statistic_mean,t_statistic_std,t_statistic_min,t_statistic_max,p_value_mean,p_value_min,r_squared_mean,r_squared_std,r_squared_min,r_squared_max,n_observations_mean,n_significant
unemployment,0.0031,0.0043,-0.0039,0.0091,0.7063,1.0462,-1.118,2.2751,0.3583,0.025,0.0144,0.0133,0.0001,0.0474,103.0625,1
10y_treasury_const_maturity_rate,-0.0026,0.0044,-0.009,0.004,-0.6225,1.0702,-2.3845,1.1656,0.4335,0.0189,0.0139,0.0168,0.0001,0.05,103.125,2
m2_real_money_supply,0.0026,0.0044,-0.0043,0.0104,0.6621,1.0492,-1.0541,2.4987,0.4349,0.014,0.0134,0.0164,0.0,0.0542,103.125,2
industrial_production,-0.0005,0.0047,-0.0092,0.0076,-0.0959,1.1268,-2.026,2.0419,0.4398,0.0436,0.0117,0.0134,0.0,0.038,103.0625,2
fedfunds,-0.0024,0.0054,-0.0143,0.0054,-0.5499,1.3159,-3.3812,1.5729,0.4406,0.001,0.0179,0.0273,0.0003,0.1017,103.125,3
fed_reserve_discount_rate,-0.0034,0.0057,-0.0158,0.0051,-0.768,1.3122,-3.4911,1.3981,0.4652,0.0008,0.0232,0.0358,0.0001,0.1216,92.0,4
PPI_inflation,0.0018,0.0042,-0.0061,0.0103,0.4814,1.0405,-1.2552,2.8125,0.4692,0.0059,0.0113,0.017,0.0,0.0682,103.0625,1
nat_fin_condition_indx,-0.0004,0.0042,-0.0082,0.0041,-0.0356,1.0129,-1.784,1.1575,0.4763,0.0775,0.009,0.0103,0.0,0.0305,103.125,0
PCE_price_index,0.0024,0.004,-0.0044,0.0093,0.6047,0.9744,-0.9181,2.5389,0.4831,0.0126,0.0116,0.0159,0.0001,0.0563,103.0625,2
cpi,0.0023,0.0039,-0.0045,0.0093,0.5832,0.9581,-0.9307,2.5285,0.4893,0.0129,0.011,0.0154,0.0001,0.0559,103.125,2
tot_business_inventories,0.0019,0.0037,-0.0044,0.0082,0.5051,0.9167,-1.0772,2.1582,0.4937,0.0333,0.0096,0.0124,0.0003,0.0429,100.0,1
10y_2y_spread,-0.0001,0.005,-0.0088,0.0101,-0.0461,1.2031,-1.9934,2.3323,0.4982,0.0217,0.0135,0.0172,0.0,0.0511,103.125,1
retail_sales,0.0017,0.0035,-0.0049,0.0078,0.4515,0.867,-1.19,2.0315,0.4988,0.0448,0.0084,0.0105,0.0003,0.0382,100.0625,1
gdp,0.0033,0.0042,-0.0061,0.0112,0.5394,0.6362,-0.667,1.8373,0.5739,0.0732,0.0156,0.0194,0.0005,0.0713,34.375,0
real_gdp,0.0027,0.0039,-0.006,0.009,0.4405,0.5756,-0.6552,1.4669,0.6153,0.1498,0.0125,0.0135,0.0,0.0466,34.375,0
