variable,0,1,2,3
10y_2y_spread,0.0025,-0.0063,0.0005,-0.0024
10y_treasury_const_maturity_rate,0.0005,0.0051,-0.0064,-0.0046
PCE_price_index,-0.0023,0.0029,0.0059,0.0010
PPI_inflation,-0.0016,0.0014,0.0047,-0.0004
cpi,-0.0024,0.0028,0.0059,0.0009
fed_reserve_discount_rate,-0.0010,0.0038,-0.0076*,-0.0020
fedfunds,-0.0001,0.0087*,-0.0075*,-0.0025
gdp,-0.0025,0.0117,0.0106,0.0001
industrial_production,-0.0044,-0.0029,0.0021,0.0005
m2_real_money_supply,-0.0023,0.0023,0.0071,0.0020
nat_fin_condition_indx,-0.0040,-0.0053,-0.0049,0.0038
real_gdp,-0.0033,0.0095,0.0101,0.0002
retail_sales,-0.0032,0.0037,0.0051,0.0009
tot_business_inventories,-0.0024,0.0038,0.0054,0.0007
unemployment,0.0061,0.0004,0.0032,0.0029
