variable,0,1,2,3
10y_2y_spread,0.0011,-0.0023,-0.0021,0.0003
10y_treasury_const_maturity_rate,-0.0007,0.0005,0.0005,-0.0031
PCE_price_index,0.0011,0.0005,0.0010,0.0029
PPI_inflation,0.0015,-0.0001,-0.0003,0.0024
cpi,0.0010,0.0005,0.0009,0.0028
fed_reserve_discount_rate,-0.0019,-0.0009,-0.0016,-0.0055**
fedfunds,-0.0016,0.0014,-0.0005,-0.0041*
gdp,0.0049,0.0016,0.0024,0.0077**
industrial_production,-0.0006,-0.0000,-0.0031,-0.0018
m2_real_money_supply,0.0011,0.0000,0.0017,0.0032
nat_fin_condition_indx,-0.0052**,-0.0033,-0.0083***,0.0027
real_gdp,0.0038,0.0012,0.0014,0.0063*
retail_sales,0.0002,0.0000,0.0009,0.0021
tot_business_inventories,0.0002,0.0002,0.0011,0.0032
unemployment,0.0032,0.0007,0.0019,0.0058***
