variable,coefficient_mean,coefficient_std,coefficient_min,coefficient_max,t_statistic_mean,t_statistic_std,t_statistic_min,t_statistic_max,p_value_mean,p_value_min,r_squared_mean,r_squared_std,r_squared_min,r_squared_max,n_observations_mean,n_significant
unemployment,0.0026,0.0023,-0.003,0.0058,1.2663,1.1237,-1.4987,2.7832,0.2628,0.0056,-0.0011,0.008,-0.0283,0.0065,394.6875,6
nat_fin_condition_indx,-0.0015,0.0034,-0.0083,0.0033,-0.683,1.6104,-3.8886,1.63,0.3516,0.0001,-0.0052,0.0137,-0.0346,0.0178,394.9375,3
gdp,0.0029,0.0039,-0.0052,0.0094,0.8296,1.0944,-1.402,2.5473,0.36,0.0121,-0.0035,0.0209,-0.0783,0.0078,132.8125,3
fed_reserve_discount_rate,-0.0026,0.0027,-0.0088,0.0017,-1.1792,1.2306,-3.9147,0.8054,0.3704,0.0001,-0.0028,0.006,-0.0176,0.0086,352.75,4
m2_real_money_supply,0.0018,0.0021,-0.0018,0.0051,0.859,0.9866,-0.8229,2.4461,0.404,0.0149,-0.004,0.0045,-0.0156,0.0021,394.9375,2
fedfunds,-0.0014,0.0026,-0.0075,0.0023,-0.6584,1.2302,-3.5374,1.1433,0.4098,0.0005,-0.0047,0.0054,-0.0205,0.0041,394.9375,1
10y_2y_spread,-0.0002,0.0026,-0.0046,0.0053,-0.1043,1.2525,-2.3217,2.4717,0.4279,0.0139,-0.0065,0.0057,-0.0228,0.0003,394.9375,3
PCE_price_index,0.0016,0.0017,-0.0017,0.0042,0.7648,0.8375,-0.8276,2.018,0.4283,0.0442,-0.0037,0.0046,-0.0149,0.0015,394.6875,1
cpi,0.0015,0.0017,-0.0018,0.0041,0.7181,0.8354,-0.8863,1.9586,0.4383,0.0508,-0.0039,0.0047,-0.0158,0.0013,394.9375,0
10y_treasury_const_maturity_rate,-0.0015,0.002,-0.0049,0.0015,-0.7239,0.9524,-2.3339,0.7256,0.4434,0.0201,-0.004,0.0043,-0.0132,0.0024,394.9375,1
real_gdp,0.0022,0.0034,-0.0052,0.0073,0.6194,0.9408,-1.4009,1.9777,0.4622,0.0502,-0.0062,0.0202,-0.0794,0.004,132.8125,0
PPI_inflation,0.0012,0.0018,-0.0028,0.0039,0.558,0.8892,-1.3551,1.8661,0.4671,0.0628,-0.0041,0.0052,-0.0155,0.0023,394.6875,0
tot_business_inventories,0.0014,0.0018,-0.0013,0.0042,0.6714,0.8675,-0.622,2.0653,0.4856,0.0396,-0.0044,0.0046,-0.0161,0.0005,382.4375,1
industrial_production,-0.0011,0.0021,-0.0055,0.0024,-0.5174,1.0256,-2.6329,1.2007,0.4929,0.0088,-0.0049,0.006,-0.0211,0.001,394.6875,1
retail_sales,0.0012,0.0018,-0.0014,0.0041,0.5588,0.8313,-0.653,2.0236,0.4994,0.0437,-0.0047,0.0045,-0.016,0.0002,382.6875,1
