variable,0,1,2,3
10y_2y_spread,0.6332525242208646,0.2281137618748097,0.9664076374973951,0.872975871284031
10y_treasury_const_maturity_rate,0.3286210163026517,0.9765076290546026,0.40910242711331435,0.2776696892041013
PCE_price_index,0.24280836757240243,0.7622933233940443,0.36197028993508207,0.2668446952892265
PPI_inflation,0.37304940338587644,0.9937014363751173,0.5851955069358361,0.39351026030096903
cpi,0.2620696421624067,0.790496431584071,0.3843763996944842,0.2803703789811971
fed_reserve_discount_rate,0.054035040386354094,0.6083973118196033,0.04737494470516457,0.05164978994364988
fedfunds,0.1229118120342052,0.8576130894569514,0.20417710238191344,0.15389673531241277
gdp,0.14124106319878993,0.21389769640825618,0.38641972916929257,0.08036734351248631
industrial_production,0.6573025525227076,0.2863365808954834,0.3218035141338529,0.8115041284754136
m2_real_money_supply,0.2273759229904364,0.6924360172592372,0.27154336849307104,0.2624339880668878
nat_fin_condition_indx,0.6250903497744738,0.5766589582770529,0.9164426111477788,0.6336996953982204
real_gdp,0.16514767914320982,0.36997506521658385,0.6171111310398123,0.12670955745028367
retail_sales,0.3476934688078661,0.9121799985292285,0.5958928703493767,0.539131721054436
tot_business_inventories,0.2699852375086844,0.6921806670892656,0.42695296753350265,0.4279672916974331
unemployment,0.032001132481511485,0.1482063108053786,0.022700984350815245,0.026641667531728697
