variable,0,1,2,3
10y_2y_spread,0.3207899488062109,0.05000590423226492,0.8295471230416669,0.9981023485514704
10y_treasury_const_maturity_rate,0.6887698789922063,0.40401475883206084,0.9357392400601703,0.1962948986832096
PCE_price_index,0.7656163561985114,0.4731969157239484,0.9060104498621295,0.1805384748710308
PPI_inflation,0.5138354138368317,0.7640515015739093,0.634670636883051,0.26959718002352795
cpi,0.7746252513654059,0.4731223859834328,0.9044002460802041,0.198131419180406
fed_reserve_discount_rate,0.8317437491717512,0.7984563756867025,0.49141202659774796,0.09714182062990817
fedfunds,0.7790946070943743,0.6666600246360694,0.7605252592057612,0.12277184057268542
gdp,0.3880089468558796,0.7320722128743933,0.915471790001984,0.07324517823676735
industrial_production,0.4619556247740402,0.29442671445392876,0.5221887911174226,0.755417140496689
m2_real_money_supply,0.7351415013044698,0.5291317996756966,0.903992557581929,0.10603010051800021
nat_fin_condition_indx,0.5598730079693823,0.7425345667501069,0.08744381288911174,0.7049330414507962
real_gdp,0.5658120696185409,0.6686886784166246,0.9661148588822697,0.14983915063904063
retail_sales,0.6914967345896386,0.6728211046448909,0.7599190826227216,0.31232276929337033
tot_business_inventories,0.7472435505662283,0.6023300546967634,0.7489104593030376,0.17555922103655086
unemployment,0.055173058410963094,0.3885025251425658,0.394685717406809,0.10700098975235717
