variable,0,1,2,3
10y_2y_spread,0.020788563696283235,0.03310614203239459,0.34774556614133156,0.21171131339292404
10y_treasury_const_maturity_rate,0.1623488621352105,0.1789139793319383,0.8897517900225369,0.08898079380924995
PCE_price_index,0.11845196196625563,0.627279615097367,0.8099485740861223,0.08694756943194415
PPI_inflation,0.2287160288301877,0.7581646615403277,0.5708780944213405,0.3471976682504434
cpi,0.13542036346926034,0.7362744489570896,0.7515322765190156,0.11422507116425473
fed_reserve_discount_rate,0.42113485860569133,0.018492286103085842,0.25549791755629414,0.22433062475471366
fedfunds,0.2536583522164717,0.12044695461357913,0.6124333077700319,0.5639252793534903
gdp,0.6165941829330959,0.28151648322073375,0.1632479220163765,0.8505983338878997
industrial_production,0.23061873167967284,0.6780787937655637,0.051836757944907275,0.4504817942296977
m2_real_money_supply,0.05893764067843321,0.7725819102500013,0.8350573084268271,0.014855454623639908
nat_fin_condition_indx,0.10394262132347931,0.5082384377805216,0.5710039666837683,0.08840119941278446
real_gdp,0.5990052276237976,0.4944647007573495,0.16355866954826337,0.9121144806258354
retail_sales,0.043748270600387995,0.9053786095654202,0.5741937646281903,0.11091843680640667
tot_business_inventories,0.03961650307202502,0.9801571172291104,0.6553077860776755,0.12255649727317475
unemployment,0.1347958945915757,0.04391353694980227,0.009329038346963525,0.03410397745337801
