variable,0,1,2,3
10y_2y_spread,0.8263850641910009,0.43618548146224434,0.43704127362491674,0.5239507620324222
10y_treasury_const_maturity_rate,0.25971094821657337,0.4012430657804651,0.16338039999994325,0.2560296266649247
PCE_price_index,0.6483131504324531,0.41368149111524266,0.3087743559246936,0.3361816836781868
PPI_inflation,0.816085079303174,0.6748979275112399,0.5591006660743654,0.5301385846619526
cpi,0.7165681126111916,0.49283731338293757,0.3609582961705178,0.39273665625816845
fed_reserve_discount_rate,0.3173439360856858,0.45876630470938684,0.11862647644575475,0.597370377560539
fedfunds,0.7234877456128253,0.936973343407165,0.21514818192539154,0.8377328864991571
gdp,0.7305338235276997,0.4141884111601206,0.8145891992171763,0.43667619043770056
industrial_production,0.35876228010881706,0.5726609579484463,0.6428013654872455,0.8530367752281585
m2_real_money_supply,0.4465870747142684,0.27807055943537873,0.21284026533360123,0.2399435873798259
nat_fin_condition_indx,0.03815498980971599,0.6819494124058774,0.017704154575006292,0.8529134255390054
real_gdp,0.8053536700431767,0.33920910914466096,0.8838066948305889,0.4427154488486609
retail_sales,0.7154364233747215,0.5041565555712804,0.46550605221192853,0.36904525824480805
tot_business_inventories,0.8391592728118027,0.49615844372999485,0.46467360198119056,0.31593456721597946
unemployment,0.034218512503858545,0.2365478244819248,0.026412937865341712,0.19191771899387078
