model,variable,horizon,rmse_improvement_pct,mae_improvement_pct
XGBoost (Macro),Growth,1,-21.124074285872148,-11.333483981804006
XGBoost (Macro+Sent),Growth,1,-2.7005157066456507,3.92492283643485
LSTM,Growth,1,-53.71252076995725,-111.22321467576997
XGBoost (Macro),Growth,3,33.77572955581403,18.237055270226904
XGBoost (Macro+Sent),Growth,3,44.87675475889012,31.499361707225344
LSTM,Growth,3,39.19710500459934,20.04251998936033
XGBoost (Macro),Growth,6,22.739347537384347,11.753753616305255
XGBoost (Macro+Sent),Growth,6,35.108190005419736,26.26256625303044
LSTM,Growth,6,35.28345456767969,29.02499981225969
XGBoost (Macro),Inflation,1,-6.46181647629584,-3.6626999614069526
XGBoost (Macro+Sent),Inflation,1,13.547311034664933,14.613049389165061
XGBoost (Macro),Inflation,3,12.024583060950473,4.2751905873614735
XGBoost (Macro+Sent),Inflation,3,25.345472518094542,20.251063011381053
XGBoost (Macro),Inflation,6,-9.936980840801272,-8.480952054253683
XGBoost (Macro+Sent),Inflation,6,18.27611346382293,15.06392743658765
