combination,K,regime,significant_variables
2vars_growth_inflation,2,0,None
2vars_growth_inflation,2,1,nat_fin_condition_indx=-0.0096 (p=0.028)
2vars_growth_inflation,3,0,None
2vars_growth_inflation,3,1,None
2vars_growth_inflation,3,2,None
2vars_growth_inflation,4,0,None
2vars_growth_inflation,4,1,None
2vars_growth_inflation,4,2,None
2vars_growth_inflation,4,3,None
2vars_growth_inflation,5,0,None
2vars_growth_inflation,5,1,None
2vars_growth_inflation,5,2,None
2vars_growth_inflation,5,3,None
2vars_growth_inflation,5,4,None
2vars_growth_inflation,6,0,None
2vars_growth_inflation,6,1,None
2vars_growth_inflation,6,2,None
2vars_growth_inflation,6,3,None
2vars_growth_inflation,6,4,None
2vars_growth_inflation,6,5,None
2vars_growth_market_volatility,2,0,None
2vars_growth_market_volatility,2,1,nat_fin_condition_indx=-0.0096 (p=0.042)
2vars_growth_market_volatility,3,0,None
2vars_growth_market_volatility,3,1,None
2vars_growth_market_volatility,3,2,None
2vars_growth_market_volatility,4,0,None
2vars_growth_market_volatility,4,1,None
2vars_growth_market_volatility,4,2,None
2vars_growth_market_volatility,4,3,None
2vars_growth_market_volatility,5,0,None
2vars_growth_market_volatility,5,1,None
2vars_growth_market_volatility,5,2,None
2vars_growth_market_volatility,5,3,None
2vars_growth_market_volatility,5,4,None
2vars_growth_market_volatility,6,0,None
2vars_growth_market_volatility,6,1,None
2vars_growth_market_volatility,6,2,None
2vars_growth_market_volatility,6,3,None
2vars_growth_market_volatility,6,4,None
2vars_growth_market_volatility,6,5,None
2vars_growth_monetary_policy,2,0,None
2vars_growth_monetary_policy,2,1,nat_fin_condition_indx=-0.0089 (p=0.039)
2vars_growth_monetary_policy,3,0,None
2vars_growth_monetary_policy,3,1,None
2vars_growth_monetary_policy,3,2,None
2vars_growth_monetary_policy,4,0,None
2vars_growth_monetary_policy,4,1,None
2vars_growth_monetary_policy,4,2,None
2vars_growth_monetary_policy,4,3,None
2vars_growth_monetary_policy,5,0,None
2vars_growth_monetary_policy,5,1,None
2vars_growth_monetary_policy,5,2,None
2vars_growth_monetary_policy,5,3,None
2vars_growth_monetary_policy,5,4,None
2vars_growth_monetary_policy,6,0,None
2vars_growth_monetary_policy,6,1,None
2vars_growth_monetary_policy,6,2,None
2vars_growth_monetary_policy,6,3,None
2vars_growth_monetary_policy,6,4,None
2vars_growth_monetary_policy,6,5,None
2vars_inflation_market_volatility,2,0,nat_fin_condition_indx=-0.0092 (p=0.037)
2vars_inflation_market_volatility,2,1,None
2vars_inflation_market_volatility,3,0,None
2vars_inflation_market_volatility,3,1,None
2vars_inflation_market_volatility,3,2,None
2vars_inflation_market_volatility,4,0,None
2vars_inflation_market_volatility,4,1,None
2vars_inflation_market_volatility,4,2,None
2vars_inflation_market_volatility,4,3,None
2vars_inflation_market_volatility,5,0,None
2vars_inflation_market_volatility,5,1,None
2vars_inflation_market_volatility,5,2,None
2vars_inflation_market_volatility,5,3,None
2vars_inflation_market_volatility,5,4,None
2vars_inflation_market_volatility,6,0,None
2vars_inflation_market_volatility,6,1,None
2vars_inflation_market_volatility,6,2,None
2vars_inflation_market_volatility,6,3,None
2vars_inflation_market_volatility,6,4,None
2vars_inflation_market_volatility,6,5,None
2vars_inflation_monetary_policy,2,0,nat_fin_condition_indx=-0.0088 (p=0.041)
2vars_inflation_monetary_policy,2,1,nat_fin_condition_indx=-0.0083 (p=0.048)
2vars_inflation_monetary_policy,3,0,None
