combination,K,regime,variable,coefficient,t_statistic,p_value,n_observations
2vars_growth_inflation,2,1,nat_fin_condition_indx,-0.009635142059112914,-2.227587478680842,0.02828763748011731,356.0
2vars_growth_market_volatility,2,1,nat_fin_condition_indx,-0.009630308608933075,-2.0642023352798438,0.04161147587246794,356.0
2vars_growth_monetary_policy,2,1,nat_fin_condition_indx,-0.008856880383249596,-2.0782018844814574,0.03902341430881684,356.0
2vars_inflation_market_volatility,2,0,nat_fin_condition_indx,-0.009206104745255418,-2.102300202213502,0.03698571912616355,356.0
2vars_inflation_monetary_policy,2,0,nat_fin_condition_indx,-0.0087626859713131,-2.0563499641179512,0.04106940832200889,356.0
2vars_inflation_monetary_policy,2,1,nat_fin_condition_indx,-0.008284400098723894,-1.99822605065124,0.047822252878373384,356.0
2vars_inflation_monetary_policy,3,2,nat_fin_condition_indx,-0.010220060639290367,-2.100977019667331,0.03798630669165748,356.0
2vars_market_volatility_monetary_policy,2,0,nat_fin_condition_indx,-0.010249488800644822,-2.6437595946233814,0.009059080801351538,356.0
2vars_market_volatility_monetary_policy,3,0,nat_fin_condition_indx,-0.010792717119458591,-2.099974121374026,0.03832487029010778,356.0
2x2_growth_inflation,4,0,nat_fin_condition_indx,-0.018204329418147352,-3.0986869557358787,0.0025860018157066733,107.0
2x2_growth_inflation,4,2,nat_fin_condition_indx,-0.01713792552367096,-3.0938194901782228,0.002838808529801895,86.0
all_4vars,2,1,nat_fin_condition_indx,-0.00890262962402161,-2.1021707052027074,0.036815609531490434,356.0
