Rank,Label,Combination,K,Variable,Coefficient,P-value,Avg |t-stat|,N Regimes
1,"2vars_growth_inflation, K=2",2vars_growth_inflation,2,vix,-0.0371380074910072,4.202131087538419e-09,7.287107270969811,2
1,"2vars_growth_inflation, K=2",2vars_growth_inflation,2,nat_fin_condition_indx,0.0145006632266449,0.00433045822958175,2.9815739199668485,2
1,"2vars_growth_inflation, K=2",2vars_growth_inflation,2,export_price_index,0.0809049949762223,0.00638812837651385,3.1585664959108484,2
1,"2vars_growth_inflation, K=2",2vars_growth_inflation,2,10y_treasury_const_maturity_rate,-0.0234328129077193,0.0164724608617037,2.416019150770753,1
1,"2vars_growth_inflation, K=2",2vars_growth_inflation,2,cpi,0.5353835300883609,0.02710378947874375,2.2823722756773943,2
1,"2vars_growth_inflation, K=2",2vars_growth_inflation,2,PCE_price_index,-0.4040542490244848,0.0323058111526295,2.1536854418955858,1
1,"2vars_growth_inflation, K=2",2vars_growth_inflation,2,PPI_inflation,-0.0983627522675091,0.0364461882827193,2.1042216798228672,1
2,"2vars_growth_inflation, K=3",2vars_growth_inflation,3,vix,-0.0368673363385921,9.829802135522906e-06,5.743759767322238,3
2,"2vars_growth_inflation, K=3",2vars_growth_inflation,3,nat_fin_condition_indx,0.014601593365317751,0.0109348791594392,2.6113011060421103,2
2,"2vars_growth_inflation, K=3",2vars_growth_inflation,3,export_price_index,0.08085759973605285,0.015954426667739448,2.758355804477787,2
2,"2vars_growth_inflation, K=3",2vars_growth_inflation,3,cpi,0.4894169513883695,0.0271548783120807,2.2279058439579367,1
2,"2vars_growth_inflation, K=3",2vars_growth_inflation,3,10y_treasury_const_maturity_rate,-0.0234513169342171,0.0350513659343623,2.124197454053771,1
10,"2vars_growth_market_volatility, K=2",2vars_growth_market_volatility,2,vix,-0.037426051033253846,1.5847841927651986e-09,7.333637492388711,2
10,"2vars_growth_market_volatility, K=2",2vars_growth_market_volatility,2,nat_fin_condition_indx,0.014234480066132048,0.0055014994796409,2.941012694386813,2
10,"2vars_growth_market_volatility, K=2",2vars_growth_market_volatility,2,export_price_index,0.0831068965458792,0.00641843326692365,3.2117680141256684,2
10,"2vars_growth_market_volatility, K=2",2vars_growth_market_volatility,2,cpi,0.552817752281757,0.024523826273988802,2.2741603856326194,2
10,"2vars_growth_market_volatility, K=2",2vars_growth_market_volatility,2,10y_treasury_const_maturity_rate,-0.0366785826752836,0.0317816014865079,2.1779605301435137,1
10,"2vars_growth_market_volatility, K=2",2vars_growth_market_volatility,2,PPI_inflation,-0.0927911457158249,0.0343666326624145,2.1286989475315696,1
11,"2vars_growth_market_volatility, K=3",2vars_growth_market_volatility,3,vix,-0.03701463981811623,1.0193548147130471e-05,5.910864482643729,3
11,"2vars_growth_market_volatility, K=3",2vars_growth_market_volatility,3,export_price_index,0.0795129799433816,0.00733068267222195,2.7271851516847576,2
11,"2vars_growth_market_volatility, K=3",2vars_growth_market_volatility,3,nat_fin_condition_indx,0.01398523038406245,0.01422682790170355,2.5880797601757712,2
11,"2vars_growth_market_volatility, K=3",2vars_growth_market_volatility,3,10y_treasury_const_maturity_rate,-0.0345782768546289,0.0321427187010667,2.170222472321823,1
11,"2vars_growth_market_volatility, K=3",2vars_growth_market_volatility,3,cpi,0.4803157926543646,0.0380796603286148,2.0941468582676532,1
19,"2vars_growth_monetary_policy, K=2",2vars_growth_monetary_policy,2,vix,-0.03663574142409285,9.530043421079881e-12,7.404252029612084,2
19,"2vars_growth_monetary_policy, K=2",2vars_growth_monetary_policy,2,nat_fin_condition_indx,0.0140365610323249,0.00336479627663905,2.9902763805396235,2
19,"2vars_growth_monetary_policy, K=2",2vars_growth_monetary_policy,2,export_price_index,0.0794917802112297,0.0033884128217785,3.0798980648697807,2
19,"2vars_growth_monetary_policy, K=2",2vars_growth_monetary_policy,2,cpi,0.6094960413624129,0.009696808938975,2.624524525276539,1
19,"2vars_growth_monetary_policy, K=2",2vars_growth_monetary_policy,2,10y_treasury_const_maturity_rate,-0.0260215000256149,0.0122254251431235,2.5295812678449416,1
19,"2vars_growth_monetary_policy, K=2",2vars_growth_monetary_policy,2,PCE_price_index,-0.5323983416686332,0.0240923650653481,2.2818671843132603,1
20,"2vars_growth_monetary_policy, K=3",2vars_growth_monetary_policy,3,vix,-0.03651612571360186,1.1176576228510982e-05,5.811773011583392,3
20,"2vars_growth_monetary_policy, K=3",2vars_growth_monetary_policy,3,nat_fin_condition_indx,0.01419352731786355,0.009646409910065,2.64207482484636,2
20,"2vars_growth_monetary_policy, K=3",2vars_growth_monetary_policy,3,export_price_index,0.0795268637077904,0.009771031837614599,2.6974995689001284,2
20,"2vars_growth_monetary_policy, K=3",2vars_growth_monetary_policy,3,10y_treasury_const_maturity_rate,-0.0261443360108801,0.0273549189101076,2.2285932829719353,1
20,"2vars_growth_monetary_policy, K=3",2vars_growth_monetary_policy,3,cpi,0.5749864234327325,0.036675322496964,2.1175318877776252,1
28,"2vars_inflation_market_volatility, K=2",2vars_inflation_market_volatility,2,vix,-0.037240680264952294,4.187206137373778e-12,7.5458136108428695,2
28,"2vars_inflation_market_volatility, K=2",2vars_inflation_market_volatility,2,export_price_index,0.07827778847900566,0.00254462759679255,3.0854079585553,2
28,"2vars_inflation_market_volatility, K=2",2vars_inflation_market_volatility,2,nat_fin_condition_indx,0.0137806294554003,0.00667365689354485,2.935438135560557,2
