model,variable,horizon,rmse_improvement_pct,mae_improvement_pct
XGBoost (Macro),Growth,1,42.32584896389051,62.246527922989
XGBoost (Macro+Sent),Growth,1,51.90097923021712,67.95541056120474
LSTM,Growth,1,7.753072008866317,6.848838324787238
XGBoost (Macro),Growth,3,25.40477445510326,23.656990078384503
XGBoost (Macro+Sent),Growth,3,38.928090740237835,37.08991914334276
LSTM,Growth,3,18.4016888940521,11.074477822582605
XGBoost (Macro),Growth,6,9.647662884119692,7.47327524226939
XGBoost (Macro+Sent),Growth,6,25.357912254170305,23.954794507261752
LSTM,Growth,6,4.944857430357992,2.149682067723219
XGBoost (Macro),Inflation,1,1.743592592306206,3.3834242700154893
XGBoost (Macro+Sent),Inflation,1,21.520110014520906,21.723121253402603
LSTM,Inflation,1,17.405403445782685,16.49064477448366
XGBoost (Macro),Inflation,3,12.421860275271774,3.834022712274194
XGBoost (Macro+Sent),Inflation,3,26.902351859318287,21.198458548384053
LSTM,Inflation,3,32.44320257755605,25.467941726817244
XGBoost (Macro),Inflation,6,-12.11036579827124,-10.329154124132652
XGBoost (Macro+Sent),Inflation,6,18.02831797179678,15.034650774591768
LSTM,Inflation,6,18.093984724990406,14.116154983740017
