model,variable,horizon,rmse,mae
TVP-VAR,Growth,1,1.6674603968360455,0.8075570542979855
TVP-VAR,Growth,3,1.744146728740809,0.7450543140678096
TVP-VAR,Growth,6,1.559168486607702,0.7190512534898708
TVP-VAR,Inflation,1,0.1928163243472134,0.1409260337119139
TVP-VAR,Inflation,3,0.2228194831599129,0.1523144264905717
TVP-VAR,Inflation,6,0.2194805026210257,0.1529636016289585
XGBoost (Macro),Growth,1,0.9616936277385316,0.3048808270003225
XGBoost (Macro),Growth,3,1.3010501861381447,0.5687968889102122
XGBoost (Macro),Growth,6,1.40874516722436,0.6653145741835845
XGBoost (Macro),Inflation,1,0.1894543931991383,0.1361579080845348
XGBoost (Macro),Inflation,3,0.1951411582957058,0.146474656784853
XGBoost (Macro),Inflation,6,0.2460603943443162,0.1687634477950379
XGBoost (Macro+Sent),Growth,1,0.8020321226020736,0.25877834253381843
XGBoost (Macro+Sent),Growth,3,1.065183707533697,0.468714271406072
XGBoost (Macro+Sent),Growth,6,1.1637959098790458,0.5468040033144824
XGBoost (Macro+Sent),Inflation,1,0.15132203922173762,0.11031250053106381
XGBoost (Macro+Sent),Inflation,3,0.16287580178911867,0.12002611592775896
XGBoost (Macro+Sent),Inflation,6,0.17991185972240942,0.12996605831180683
LSTM,Growth,1,1.5381809915500189,0.7522487772687022
LSTM,Growth,3,1.4231942738621386,0.6625434392901751
LSTM,Growth,6,1.4820698278458808,0.70359393763586
LSTM,Inflation,1,0.159255865185252,0.11768642209771309
LSTM,Inflation,3,0.15052970685607897,0.11352307711041701
LSTM,Inflation,6,0.17976773400244514,0.13137102255430405
