variable,0,1,2,3
10y_2y_spread,-0.0049,0.0060,0.0069*,-0.0054
10y_treasury_const_maturity_rate,-0.0029,-0.0084*,0.0019,-0.0050
PCE_price_index,0.0035,0.0060,-0.0037,0.0049
PPI_inflation,0.0029,0.0051,-0.0042,0.0029
cpi,0.0036,0.0053,-0.0038,0.0046
fed_reserve_discount_rate,0.0019,-0.0116**,-0.0053,-0.0012
fedfunds,0.0028,-0.0091**,-0.0025,-0.0020
gdp,0.0039,0.0027,-0.0061,0.0010
industrial_production,0.0028,0.0054,-0.0081**,-0.0003
m2_real_money_supply,0.0044,0.0052,-0.0043,0.0069
nat_fin_condition_indx,0.0037,0.0041,-0.0018,-0.0039
real_gdp,0.0038,0.0054,-0.0060,0.0001
retail_sales,0.0054*,0.0036,-0.0049,0.0037
tot_business_inventories,0.0055*,0.0027,-0.0044,0.0038
unemployment,-0.0035,0.0069,0.0091**,0.0028
