variable,n_significant,avg_abs_tstat,avg_r_squared,avg_coefficient,best_regime,best_regime_tstat,best_horizon,best_horizon_tstat
fedfunds,1,1.0730380230115797,0.01632775951638161,-0.001636215912690368,Regime 3,1.5636187622231033,6,1.3039549772892078
fed_reserve_discount_rate,2,1.0021893984781631,0.020406649673312578,-0.0030203234205152785,Regime 3,1.6094927621336865,12,1.1815017433559258
gdp,2,0.975226530665343,0.04111585031704733,0.0037043348500699,Regime 2,1.1782429473235547,1,1.3227202504379336
nat_fin_condition_indx,0,0.9514635039119963,0.010626104878582648,-0.0012050429887331439,Regime 0,1.1738041615276436,6,1.3082679858520008
unemployment,1,0.9093736907483634,0.01123379886618689,0.002720853547512435,Regime 3,1.3207344897313646,6,1.1922090140939163
real_gdp,2,0.8801096388490071,0.03512951947331253,0.0029893500993781585,Regime 2,1.099033423748478,1,1.2544973520018479
m2_real_money_supply,1,0.866707284273095,0.01001909385694718,0.0023872819366535457,Regime 2,1.0207113502878156,6,1.299065326839548
10y_treasury_const_maturity_rate,1,0.800166943371271,0.010763697347608896,-0.001920081369206726,Regime 3,1.4525251240432318,6,1.0167705270401712
retail_sales,1,0.7696580744269466,0.007885916160468687,0.0017277386876790456,Regime 1,0.8156907347909751,6,1.2123092312323989
PCE_price_index,1,0.7478954677034527,0.008575928722416588,0.0022494352802735844,Regime 1,0.881231940461579,6,1.1099185391606492
tot_business_inventories,1,0.7372899311758141,0.0076515708516844555,0.002060705810878424,Regime 2,0.8294018209704961,6,1.2183840248802085
cpi,1,0.7359512168263206,0.008386073421364083,0.0021531274054215287,Regime 1,0.8418261522887017,6,1.0922993571232165
PPI_inflation,1,0.6500050248342748,0.00676945850018016,0.0016681260191520695,Regime 2,0.672995757169941,6,0.9846215197250887
10y_2y_spread,0,0.6453045728750488,0.005752821460621581,-0.000421394332386134,Regime 1,0.8063410059789897,6,0.8995758639804816
industrial_production,0,0.5385628299985641,0.004280733947862075,-0.0010144120403983415,Regime 3,0.6910230920832314,6,0.6886057198685431
