variable,0,1,2,3
10y_2y_spread,-0.0023,-0.0055,-0.0025,0.0047
10y_treasury_const_maturity_rate,0.0021,0.0010,0.0011,-0.0109***
PCE_price_index,-0.0025,0.0057,0.0002,0.0091**
PPI_inflation,-0.0028,0.0044,0.0002,0.0081**
cpi,-0.0025,0.0056,0.0001,0.0091**
fed_reserve_discount_rate,-0.0005,0.0011,-0.0009,-0.0111***
fedfunds,0.0018,0.0055,-0.0019,-0.0113***
gdp,0.0012,0.0020,0.0074,0.0129**
industrial_production,-0.0006,-0.0003,-0.0066,0.0039
m2_real_money_supply,-0.0042,0.0054,0.0028,0.0083**
nat_fin_condition_indx,0.0068*,-0.0045,-0.0075*,0.0026
real_gdp,0.0002,0.0007,0.0070,0.0120**
retail_sales,-0.0046,0.0056,0.0018,0.0076**
tot_business_inventories,-0.0039,0.0062,0.0024,0.0075**
unemployment,0.0005,-0.0050,0.0078*,0.0068*
