variable,0,1,2,3
10y_2y_spread,0.5253513601962125,0.2608246456734531,0.5827510966689808,0.2040338450533996
10y_treasury_const_maturity_rate,0.5635426579450022,0.8350170119148683,0.8068386664920275,0.0030093130307728977
PCE_price_index,0.48545354852481837,0.24447275938286617,0.9591647467844531,0.013300411375186227
PPI_inflation,0.43494072636158965,0.36707989057232715,0.9734313213964114,0.028845879941794328
cpi,0.4860889954025718,0.2538582157884095,0.9806683314509492,0.014001418473665206
fed_reserve_discount_rate,0.888968047603238,0.8510625294639063,0.839982800689602,0.002168762872672314
fedfunds,0.6220308219277011,0.2637159889883989,0.6779927349040635,0.0019117842716129818
gdp,0.8215773424834236,0.7901778633876635,0.4129552060677968,0.02626351097124413
industrial_production,0.8643914425742283,0.9508604564481167,0.14446403392680618,0.2955504837840479
m2_real_money_supply,0.23798539932677265,0.2722720621894328,0.541532192862948,0.02380563421756099
nat_fin_condition_indx,0.05373740841705765,0.36479385231073636,0.09921182106837545,0.48050990796136794
real_gdp,0.9743566809281612,0.9233852370006888,0.43728492643280514,0.03964397824346988
retail_sales,0.20056422316841838,0.2789331217878632,0.691510071331567,0.04051725722851107
tot_business_inventories,0.28766086955594994,0.22364875624660452,0.6058941427931792,0.041696933864025176
unemployment,0.8945388221782864,0.30589293219956204,0.08300022560486209,0.06622409262706563
