regime,rank,variable,avg_abs_tstat,avg_coefficient,avg_p_value
Regime 0,1,nat_fin_condition_indx,1.1738041615276436,-0.001009340739622804,0.29770022347185426
Regime 0,2,gdp,0.8733644508060808,-0.004112194831375407,0.5956004642829553
Regime 0,3,real_gdp,0.7946569449036762,-0.004752397549311929,0.6278177757289933
Regime 1,1,fedfunds,1.2114487828204643,0.0022397606755140296,0.3061320670234439
Regime 1,2,fed_reserve_discount_rate,1.0991957727747994,-0.002863253248955381,0.47364884550931047
Regime 1,3,gdp,0.9535006879264306,0.00483937137465244,0.42745772608710847
Regime 2,1,unemployment,1.2174269039517003,0.004536338164261725,0.324470816651904
Regime 2,2,gdp,1.1782429473235547,0.008778068418452861,0.2885264490150415
Regime 2,3,real_gdp,1.099033423748478,0.008219698228956728,0.3148276045122369
Regime 3,1,fed_reserve_discount_rate,1.6094927621336865,-0.006028713611456341,0.23492648917433195
Regime 3,2,fedfunds,1.5636187622231033,-0.005847539245199832,0.24220820734316284
Regime 3,3,10y_treasury_const_maturity_rate,1.4525251240432318,-0.005387106029888269,0.2803096779948592
