variable,coefficient_mean,coefficient_std,coefficient_min,coefficient_max,t_statistic_mean,t_statistic_std,t_statistic_min,t_statistic_max,p_value_mean,p_value_min,r_squared_mean,r_squared_std,r_squared_min,r_squared_max,n_observations_mean,n_significant
nat_fin_condition_indx,-0.0012,0.0042,-0.0075,0.0068,-0.2377,1.0576,-1.6636,1.9503,0.3878,0.0537,0.0106,0.009,0.0005,0.0334,103.125,0
fedfunds,-0.0016,0.0052,-0.0113,0.0087,-0.4464,1.2813,-3.1796,1.8529,0.3953,0.0019,0.0163,0.0211,0.0,0.0821,103.125,1
m2_real_money_supply,0.0024,0.0035,-0.0042,0.0083,0.5604,0.8859,-1.1866,2.2918,0.4525,0.0238,0.01,0.0122,0.0007,0.0444,103.125,1
unemployment,0.0027,0.0038,-0.005,0.0086,0.6883,0.9005,-1.0304,1.9978,0.453,0.0483,0.0112,0.0121,0.0001,0.0363,103.0625,1
gdp,0.0037,0.0075,-0.0162,0.0129,0.5271,1.1696,-2.6827,2.3101,0.4584,0.0113,0.0411,0.0509,0.0,0.1706,34.375,2
fed_reserve_discount_rate,-0.003,0.0049,-0.0133,0.0047,-0.759,1.1636,-3.1409,1.1328,0.4716,0.0022,0.0204,0.0363,0.0,0.1334,92.0,2
retail_sales,0.0017,0.0033,-0.0046,0.0076,0.386,0.8325,-1.2882,2.0727,0.4881,0.0405,0.0079,0.0093,0.0005,0.0366,100.0625,1
real_gdp,0.003,0.0071,-0.0153,0.012,0.4207,1.1017,-2.5099,2.1288,0.4943,0.0172,0.0351,0.0443,0.0,0.1525,34.375,2
tot_business_inventories,0.0021,0.0031,-0.0039,0.0075,0.4633,0.7707,-1.0688,2.0604,0.511,0.0417,0.0077,0.0093,0.0003,0.0362,100.0,1
PCE_price_index,0.0022,0.0032,-0.0025,0.0091,0.5337,0.8099,-0.7,2.516,0.5244,0.0133,0.0086,0.0133,0.0,0.053,103.0625,1
10y_treasury_const_maturity_rate,-0.0019,0.0039,-0.0109,0.0051,-0.5018,1.0009,-3.0336,1.0813,0.5282,0.003,0.0108,0.0186,0.0,0.0753,103.125,1
cpi,0.0022,0.0032,-0.0025,0.0091,0.5109,0.8136,-0.6989,2.4968,0.5315,0.014,0.0084,0.0132,0.0,0.0523,103.125,1
10y_2y_spread,-0.0004,0.0033,-0.0063,0.0047,-0.0716,0.7814,-1.3395,1.2777,0.5531,0.184,0.0058,0.0064,0.0,0.0204,103.125,0
PPI_inflation,0.0017,0.003,-0.0028,0.0081,0.3929,0.7712,-0.7837,2.2144,0.5748,0.0288,0.0068,0.0105,0.0,0.0416,103.0625,1
industrial_production,-0.001,0.0027,-0.0066,0.0039,-0.2343,0.6583,-1.4704,1.051,0.6244,0.1445,0.0043,0.0056,0.0,0.02,103.0625,0
