variable,n_significant,avg_abs_tstat,avg_r_squared,avg_coefficient,best_regime,best_regime_tstat,best_horizon,best_horizon_tstat
unemployment,6,1.4624119021524535,-0.001136923372636725,0.002622235574695338,Stagflation,1.9854372172921968,1,2.0645617179943323
nat_fin_condition_indx,3,1.3346403595781053,-0.005224149067838267,-0.0014630550175624862,Stagflation,2.185025733618953,6,2.2969894198576135
fed_reserve_discount_rate,4,1.3045977729864664,-0.0027680715613801338,-0.002570076036336504,Slowdown,2.0627012449797006,12,1.495778389427185
gdp,3,1.1400434370284387,-0.003512640610100426,0.0028939125093012815,Slowdown,1.6036183993898734,3,1.2908655015026338
fedfunds,1,1.069519113162834,-0.004726818933954546,-0.001366217387412039,Slowdown,1.4872183292242216,12,1.382141927220824
m2_real_money_supply,2,1.0533857703932608,-0.004045660175226375,0.0017800311180978959,Slowdown,1.9892716095562992,1,1.209542687772582
10y_2y_spread,3,0.9866524821281554,-0.006474350277366606,-0.00022355298435940667,Overheating,1.2105853858306492,1,1.662705546400167
10y_treasury_const_maturity_rate,1,0.9495086560245276,-0.003981219317227627,-0.0014814465579127045,Slowdown,1.7391943453401821,1,1.1475000430396238
PCE_price_index,1,0.9386245838660312,-0.0037399744286793907,0.001584541633005634,Slowdown,1.7317454273850337,3,1.1076753520936524
cpi,0,0.9107347660817453,-0.003920738756959204,0.0014882040995626285,Slowdown,1.673016188940939,3,1.1005316313928954
real_gdp,0,0.8940326407053258,-0.006249060054479262,0.002161495106471825,Slowdown,1.362384127002421,3,1.008442329905065
industrial_production,1,0.8614809392648857,-0.0049240360233948,-0.0011024869186926796,Stagflation,1.8403791120646504,1,1.0804228698617178
tot_business_inventories,1,0.8528062572554667,-0.004363008804204628,0.0014205778871181926,Slowdown,1.6182956109218354,1,1.0210790396757319
PPI_inflation,0,0.8490069698299492,-0.004141266647024917,0.00115585270026242,Slowdown,1.3499001931254415,3,1.1499913873487275
retail_sales,1,0.7912921037636041,-0.0046885428274386146,0.001177843544411547,Slowdown,1.364517609703745,1,1.0756378836841423
