variable,0,1,2,3
10y_2y_spread,-0.0018,0.0013,0.0053**,-0.0009
10y_treasury_const_maturity_rate,0.0000,0.0012,-0.0038*,-0.0030
PCE_price_index,0.0021,-0.0007,0.0020,0.0037*
PPI_inflation,0.0017,-0.0002,0.0025,0.0039*
cpi,0.0021,-0.0007,0.0019,0.0037*
fed_reserve_discount_rate,-0.0003,0.0001,-0.0088***,-0.0042*
fedfunds,0.0006,-0.0005,-0.0075***,-0.0031
gdp,0.0094**,0.0008,0.0018,0.0064*
industrial_production,-0.0010,-0.0028,-0.0028,0.0011
m2_real_money_supply,0.0025,-0.0018,0.0025,0.0034
nat_fin_condition_indx,0.0004,-0.0029,-0.0020,0.0012
real_gdp,0.0073*,0.0000,0.0008,0.0060*
retail_sales,0.0023,-0.0014,0.0014,0.0030
tot_business_inventories,0.0024,-0.0008,0.0017,0.0035*
unemployment,-0.0002,0.0025,0.0043**,0.0009
