variable,0,1,2,3
10y_2y_spread,0.5959008766651355,0.2838666657620843,0.3206639868399077,0.8898109227898219
10y_treasury_const_maturity_rate,0.7558564132440138,0.8055742091083216,0.8035617936623074,0.14169007593867122
PCE_price_index,0.6137383858937588,0.8183744748319417,0.6428648074192138,0.15855895428103328
PPI_inflation,0.48480552759017126,0.9696874494743752,0.8981000597344644,0.25036726226304507
cpi,0.638793948261914,0.8277948697895186,0.6773253554547796,0.17266204535156127
fed_reserve_discount_rate,0.4025808115733849,0.6718094493159399,0.47255555455857445,0.011664700544174567
fedfunds,0.4608274399173746,0.5017371732132658,0.8202607606117769,0.05198642857376812
gdp,0.15193669244210906,0.6530557751197352,0.48905969328659027,0.029646274441349263
industrial_production,0.7778743326653612,0.992420527754295,0.140213574297968,0.38007947820870225
m2_real_money_supply,0.6246177589010999,0.9983804537334076,0.41881251357668114,0.12133222123194454
nat_fin_condition_indx,0.014736043369432128,0.11974944703135582,0.00011791669278871098,0.19789012550286378
real_gdp,0.2762391524639378,0.7386671814022807,0.6849404707850288,0.07399139087202178
retail_sales,0.9272626893537501,0.9991688125558711,0.6798730282834233,0.3183511633714653
tot_business_inventories,0.9300005612312232,0.9424112932250832,0.6061698709760663,0.13303607223187486
unemployment,0.13473362090089425,0.733256066178432,0.35843373035403636,0.005633301574472505
