variable,n_significant,avg_abs_tstat,avg_r_squared,avg_coefficient,best_regime,best_regime_tstat,best_horizon,best_horizon_tstat
unemployment,7,1.6181353445427886,0.005164873764088328,0.0033506717457399194,Regime 2,1.892551349242669,6,2.02804486551779
fed_reserve_discount_rate,4,1.4501910231329158,0.004708512579878844,-0.003167055394048002,Regime 0,1.7435701909041232,12,1.9899750695083889
gdp,1,1.125378665608829,0.00806666903747083,0.002952183408554836,Regime 1,1.486066026473125,3,1.3492949753102506
fedfunds,0,0.9776401757760226,0.0010055589136378149,-0.001928520345468305,Regime 0,1.2513964808499043,12,1.628218772544203
m2_real_money_supply,1,0.9651848968020462,0.0007334535158635483,0.0019162134690573793,Regime 2,1.1653277325450564,1,1.0681142963524246
10y_treasury_const_maturity_rate,0,0.9428859325241634,0.0007324791123404714,-0.0019486468440920693,Regime 0,1.284751445716819,1,1.125636529906982
real_gdp,0,0.9289262537755234,0.004225531595276215,0.002300409915077379,Regime 1,1.3118627021841591,6,1.0831737729269195
PCE_price_index,0,0.8283067920391309,0.00037120459029405667,0.0016872513950743988,Regime 1,0.9172210966261324,6,0.8742156139288961
cpi,0,0.7849212089096915,0.0001972611958792822,0.0015825815331993915,Regime 1,0.8627722055528095,12,0.8546225979104127
tot_business_inventories,0,0.7476478495285446,4.142548718751721e-05,0.001460901477133814,Regime 1,0.8829137086848113,12,0.8397449353767306
nat_fin_condition_indx,2,0.7222929227277517,-0.0007335742022146,-0.0008396980907664346,Regime 0,0.8747423507015977,1,1.2641710665034238
retail_sales,0,0.6534724801060438,-0.00046759150104524333,0.0011517260579291108,Regime 2,0.7280382263947001,12,0.7421630439574671
PPI_inflation,0,0.6196020795488271,-0.0003109570020194616,0.0011164420664863087,Regime 1,0.6992244724558383,12,0.9215753282347904
industrial_production,0,0.6012970648644116,-0.000234574474284599,-0.0012122685434758115,Regime 3,0.6848143001683025,6,0.6855362143321293
10y_2y_spread,0,0.5542810845426865,-0.0009528842680439562,7.36978471998153e-06,Regime 1,0.8946756317814524,12,0.6659431491809964
