variable,0,1,2,3
10y_2y_spread,0.0005,-0.0016,0.0016,-0.0013
10y_treasury_const_maturity_rate,-0.0023,-0.0017,-0.0029,-0.0023
PCE_price_index,0.0009,0.0017,0.0021,0.0020
PPI_inflation,-0.0005,0.0009,0.0012,0.0013
cpi,0.0007,0.0014,0.0019,0.0018
fed_reserve_discount_rate,-0.0022,-0.0016,-0.0034,-0.0011
fedfunds,-0.0007,0.0002,-0.0026,-0.0004
gdp,-0.0012,-0.0029,-0.0008,-0.0028
industrial_production,-0.0019,-0.0012,-0.0010,-0.0004
m2_real_money_supply,0.0016,0.0022,0.0026,0.0024
nat_fin_condition_indx,-0.0043**,-0.0008,-0.0049**,-0.0004
real_gdp,-0.0009,-0.0034,-0.0005,-0.0028
retail_sales,0.0008,0.0014,0.0015,0.0019
tot_business_inventories,0.0004,0.0014,0.0015,0.0021
unemployment,0.0044**,0.0024,0.0046**,0.0027
