variable,0,1,2,3
10y_2y_spread,0.9138678714538981,0.33627053266544893,0.4322007266845347,0.9630896994190752
10y_treasury_const_maturity_rate,0.14109491437030575,0.617806170899244,0.06334218767195754,0.8598335988836108
PCE_price_index,0.5983044874758789,0.3063078362915568,0.15386673030149112,0.9439707411404892
PPI_inflation,0.8453394417407412,0.5199213153546158,0.42500041577401504,0.6717472687512038
cpi,0.6245737393525004,0.32298130095629274,0.1678237531133786,0.9054215919116537
fed_reserve_discount_rate,0.0818722043066702,0.3391163430626416,0.13460549748501904,0.41373022666638226
fedfunds,0.21979917743937194,0.8881158131722142,0.21644270042189673,0.8286863363592079
gdp,0.14434457414175994,0.06930544676387762,0.09414604938971549,0.6807458287690178
industrial_production,0.5927838939519166,0.6637193676072646,0.9374370175100744,0.18466990659007587
m2_real_money_supply,0.42668653486244157,0.30164114056506985,0.048235600443377935,0.9549585663853648
nat_fin_condition_indx,0.7428053714760234,0.12179227191802577,0.5151341014245014,0.926271088356847
real_gdp,0.20398240386490785,0.11565637186931332,0.17795362890748145,0.9373937806690653
retail_sales,0.8182453189368282,0.3923540070783669,0.24658019400011377,0.7032779365128876
tot_business_inventories,0.7006427510827877,0.3024796554357516,0.21829688407032055,0.8078093461655986
unemployment,0.027334264483072745,0.3816114654319893,0.10045749237616675,0.02786707767129304
