regime,rank,variable,avg_abs_tstat,avg_coefficient,avg_p_value
Regime 0,1,unemployment,1.8598085952000938,0.003849459990202328,0.10926254587365802
Regime 0,2,fed_reserve_discount_rate,1.7435701909041232,-0.0038068409691162,0.11888039844977039
Regime 0,3,10y_treasury_const_maturity_rate,1.284751445716819,-0.002667719427222835,0.2123741161334574
Regime 1,1,gdp,1.486066026473125,0.0037280472516439582,0.18503708222205917
Regime 1,2,real_gdp,1.3118627021841591,0.0028834001156108654,0.22452203558263945
Regime 1,3,unemployment,1.120019387915779,0.002321023077297843,0.27472248730811816
Regime 2,1,unemployment,1.892551349242669,0.003919706469138442,0.07731198289643648
Regime 2,2,fed_reserve_discount_rate,1.651323125321262,-0.0036011743646612695,0.10553813662099176
Regime 2,3,fedfunds,1.2210444533908418,-0.002534782236850727,0.22340885431202917
Regime 3,1,unemployment,1.600162045812613,0.0033124974463210645,0.18871142436962818
Regime 3,2,fed_reserve_discount_rate,1.3368676730994205,-0.0029207579006954396,0.2760029534890653
Regime 3,3,gdp,1.0882717984297539,0.0024075852469365093,0.34048279762480305
