variable,coefficient_mean,coefficient_std,coefficient_min,coefficient_max,t_statistic_mean,t_statistic_std,t_statistic_min,t_statistic_max,p_value_mean,p_value_min,r_squared_mean,r_squared_std,r_squared_min,r_squared_max,n_observations_mean,n_significant
unemployment,0.0034,0.0012,0.0014,0.0047,1.6181,0.5844,0.6619,2.2871,0.1625,0.0227,0.0052,0.0027,0.0008,0.0092,412.25,7
fed_reserve_discount_rate,-0.0032,0.0013,-0.0051,-0.0011,-1.4502,0.6007,-2.2955,-0.5128,0.2155,0.0223,0.0047,0.0036,0.0006,0.0106,368.0,4
gdp,0.003,0.0033,-0.0029,0.0072,0.853,0.9453,-0.8191,2.0456,0.3281,0.0428,0.0081,0.0052,-0.0015,0.0138,137.5,1
m2_real_money_supply,0.0019,0.0011,-0.0007,0.0041,0.9238,0.5478,-0.3314,1.9812,0.3792,0.0482,0.0007,0.0014,-0.0027,0.0026,412.5,1
10y_treasury_const_maturity_rate,-0.0019,0.0011,-0.0039,0.0001,-0.9392,0.5349,-1.8618,0.0295,0.4034,0.0633,0.0007,0.001,-0.0009,0.0025,412.5,0
real_gdp,0.0023,0.003,-0.0034,0.0063,0.6636,0.8607,-0.9591,1.8055,0.4142,0.0732,0.0042,0.0037,-0.0028,0.0084,137.5,0
fedfunds,-0.0019,0.0015,-0.004,0.0004,-0.9277,0.737,-1.942,0.1795,0.4185,0.0528,0.001,0.0028,-0.0017,0.0061,412.5,0
PCE_price_index,0.0017,0.001,-0.0001,0.0032,0.8122,0.5007,-0.0703,1.5237,0.4527,0.1284,0.0004,0.001,-0.0016,0.0014,412.25,0
cpi,0.0016,0.001,-0.0002,0.0032,0.762,0.5011,-0.1189,1.5093,0.4757,0.132,0.0002,0.0009,-0.0018,0.0012,412.5,0
tot_business_inventories,0.0015,0.001,-0.0005,0.0031,0.6897,0.4878,-0.2434,1.4218,0.4852,0.1559,0.0,0.0011,-0.0022,0.0012,400.0,0
retail_sales,0.0012,0.001,-0.0011,0.0024,0.5445,0.4938,-0.4905,1.1604,0.5337,0.2466,-0.0005,0.0011,-0.0033,0.001,400.25,0
nat_fin_condition_indx,-0.0008,0.0019,-0.0049,0.0019,-0.4069,0.9228,-2.3813,0.9188,0.5619,0.0177,-0.0007,0.0013,-0.003,0.0021,412.5,2
PPI_inflation,0.0011,0.0012,-0.0009,0.0036,0.5365,0.5629,-0.4241,1.7252,0.5769,0.0852,-0.0003,0.0011,-0.0023,0.0018,412.25,0
industrial_production,-0.0012,0.0009,-0.0028,0.0003,-0.5833,0.4415,-1.3287,0.1439,0.5797,0.1847,-0.0002,0.0008,-0.0015,0.0011,412.25,0
10y_2y_spread,0.0,0.0014,-0.0025,0.0019,0.0024,0.6743,-1.207,0.9137,0.601,0.2281,-0.001,0.0009,-0.0027,0.0003,412.5,0
