model,variable,horizon,rmse,mae
TVP-VAR,Growth,1,0.793973975370727,0.2738446836444562
TVP-VAR,Growth,3,1.9646123353441456,0.69566585546801
TVP-VAR,Growth,6,1.8233669045262255,0.75392960204879
TVP-VAR,Inflation,1,0.1779552514410846,0.1313470593909146
TVP-VAR,Inflation,3,0.2218132804427651,0.1530163994931015
TVP-VAR,Inflation,6,0.2238194940978359,0.1555696595570397
XGBoost (Macro),Growth,1,0.9616936277385316,0.3048808270003225
XGBoost (Macro),Growth,3,1.3010501861381447,0.5687968889102122
XGBoost (Macro),Growth,6,1.40874516722436,0.6653145741835845
XGBoost (Macro),Inflation,1,0.1894543931991383,0.1361579080845348
XGBoost (Macro),Inflation,3,0.1951411582957058,0.146474656784853
XGBoost (Macro),Inflation,6,0.2460603943443162,0.1687634477950379
XGBoost (Macro+Sent),Growth,1,0.8154153672822924,0.26309649111973216
XGBoost (Macro+Sent),Growth,3,1.0829580756488493,0.47653555138047804
XGBoost (Macro+Sent),Growth,6,1.183215787189218,0.5559283408095178
XGBoost (Macro+Sent),Inflation,1,0.15384710002584082,0.11215324873090428
XGBoost (Macro+Sent),Inflation,3,0.1655936564066601,0.12202895201400696
XGBoost (Macro+Sent),Inflation,6,0.18291398940236095,0.1321347589280208
LSTM,Growth,1,1.220437411799784,0.5784235440125128
LSTM,Growth,3,1.1945411753259896,0.5562368873266795
LSTM,Growth,6,1.1800200711656073,0.5351015364695585
